,Abbreviation,DriverNumber,TeamName,Position,GridPosition,Status,Points,RaceCountry,Year,AgeAtGP,BestQualiTime,FLapPoint,AvgLapTime,SDLapTime,AvgSplitTime,AvgPitTime,PitstopNo,HARD,INTERMEDIATE,MEDIUM,SOFT,WET,Engine,Rain,Driver,AverageSpeed,MaxSpeed,AverageRPM,MaxRPM,AverageThrottle,MaxThrottlePct,Brake,raceID
0,GAS,10,AlphaTauri,7.0,12.0,Finished,6.0,Austria,2020.0,24.0,0 days 00:01:04.305000,0,0 days 00:01:17.639953125,0 days 00:00:14.334162,0 days 00:00:05.207484375,0 days 00:00:21.188500,2.0,45.0,0.0,21.0,0.0,0.0,,False,10,149.51018705682293,317,8044.377771360734,13076,50.401963615362405,3.737927936599609,17.232970770366094,22
1,PER,11,Racing Point,6.0,6.0,Finished,8.0,Austria,2020.0,30.0,0 days 00:01:03.860000,0,0 days 00:01:17.508784615,0 days 00:00:15.624077,0 days 00:00:05.138261538,0 days 00:00:19.464500,2.0,0.0,0.0,45.0,21.0,0.0,Mercedes,False,11,149.19263965091284,328,7929.353675361761,13256,45.80325344113967,0.8598838515096096,17.419065036737575,22
2,LEC,16,Ferrari,2.0,7.0,Finished,18.0,Austria,2020.0,22.0,0 days 00:01:03.923000,0,0 days 00:01:17.367661538,0 days 00:00:15.170963,0 days 00:00:04.997138461,0 days 00:00:21.158667,3.0,25.0,0.0,20.0,21.0,0.0,Ferrari,False,16,147.63095581865434,325,7688.070523309912,12525,52.125164436743994,2.480187377675105,19.59123431834954,22
3,STR,18,Racing Point,18.0,9.0,Engine,0.0,Austria,2020.0,21.0,0 days 00:01:03.955000,0,0 days 00:01:11.973571428,0 days 00:00:02.629749,0 days 00:00:02.789285714,0 days 00:00:00,0.0,0.0,0.0,0.0,15.0,0.0,Mercedes,False,18,43.03802098373279,321,2294.3831937626337,12484,69.26037154682838,53.41226297044951,58.53627233933327,22
4,MAG,20,Haas F1 Team,17.0,16.0,Brakes,0.0,Austria,2020.0,28.0,0 days 00:01:05.164000,0,0 days 00:01:11.430222222,0 days 00:00:00.601502,0 days 00:00:02.211111111,0 days 00:00:00,0.0,0.0,0.0,19.0,0.0,0.0,Ferrari,False,20,52.09773157506337,327,2745.368306221324,12692,68.88892097410722,51.105335771809926,57.06356081753137,22
5,ALB,23,Red Bull Racing,13.0,4.0,Electronics,0.0,Austria,2020.0,24.0,0 days 00:01:03.746000,0,0 days 00:01:18.294737704,0 days 00:00:16.178122,0 days 00:00:05.618426229,0 days 00:00:20.052000,3.0,25.0,0.0,0.0,37.0,0.0,Honda,False,23,169.85510315397696,324,7165.162960823948,12402,72.0783841884044,57.80793788301729,62.543716109988125,22
6,KVY,26,AlphaTauri,12.0,13.0,Suspension,0.0,Austria,2020.0,26.0,0 days 00:01:04.431000,0,0 days 00:01:17.924349206,0 days 00:00:14.304768,0 days 00:00:05.403269841,0 days 00:00:21.349000,3.0,25.0,0.0,21.0,18.0,0.0,,False,26,142.75040908653384,330,7846.454904225623,13144,54.517149549202685,7.649116052234735,21.375172458048578,22
7,RIC,3,Renault,19.0,10.0,Overheating,0.0,Austria,2020.0,31.0,0 days 00:01:04.023000,0,0 days 00:01:13.435272727,0 days 00:00:08.264520,0 days 00:00:04.212090909,0 days 00:00:00,0.0,0.0,0.0,0.0,12.0,0.0,Renault,False,3,36.92087785157378,323,1988.7592646067956,12349,71.80017326017904,57.74697596817147,61.09988128469214,22
8,OCO,31,Renault,8.0,14.0,Finished,4.0,Austria,2020.0,23.0,0 days 00:01:04.643000,0,0 days 00:01:17.451384615,0 days 00:00:13.707297,0 days 00:00:05.080861538,0 days 00:00:20.654500,2.0,45.0,0.0,21.0,0.0,0.0,Renault,False,31,149.30118394455675,330,7668.4509577437675,12351,47.870022780505025,0.6513299323001893,17.447941733243493,22
9,VER,33,Red Bull Racing,20.0,2.0,Electronics,0.0,Austria,2020.0,22.0,0 days 00:01:03.477000,0,0 days 00:01:17.191777777,0 days 00:00:23.052947,0 days 00:00:07.939888888,0 days 00:00:00,0.0,0.0,0.0,10.0,0.0,0.0,Honda,False,33,22.41813456540572,300,1290.697468476273,12771,69.2759007925049,60.13411621266083,62.755478551031544,22
