,Abbreviation,DriverNumber,TeamName,Position,GridPosition,Status,Points,RaceCountry,Year,AgeAtGP,BestQualiTime,FLapPoint,AvgLapTime,SDLapTime,AvgSplitTime,AvgPitTime,PitstopNo,HARD,INTERMEDIATE,MEDIUM,SOFT,WET,Engine,Rain,Driver,AverageSpeed,MaxSpeed,AverageRPM,MaxRPM,AverageThrottle,MaxThrottlePct,Brake,raceID
18,GIO,99,Alfa Romeo Racing,12.0,12.0,+1 Lap,0.0,Bahrain,2021.0,27.0,0 days 00:01:30.708000,0,0 days 00:01:39.832092592,0 days 00:00:09.890879,0 days 00:00:03.255148148,0 days 00:00:28.110500,2.0,18.0,0.0,37.0,0.0,0.0,Ferrari,False,99,141.1142554479419,320,7610.4393159806295,12615,47.820157384987894,2.412227602905569,18.480629539951572,38
19,GIO,99,Alfa Romeo Racing,12.0,12.0,+1 Lap,0.0,Bahrain,2021.0,27.0,0 days 00:01:30.708000,0,0 days 00:01:39.832092592,0 days 00:00:09.890879,0 days 00:00:03.255148148,0 days 00:00:28.110500,2.0,18.0,0.0,37.0,0.0,0.0,Ferrari,False,99,141.1142554479419,320,7610.4393159806295,12615,47.820157384987894,2.412227602905569,18.480629539951572,38
0,GAS,10,AlphaTauri,7.0,5.0,Finished,6.0,Italy,2021.0,24.0,0 days 00:01:14.790000,0,0 days 00:01:33.017650,0 days 00:00:18.644738,0 days 00:00:05.528533333,0 days 00:06:33.241750,4.0,0.0,12.0,37.0,0.0,14.0,,False,10,119.11391833972479,338,6821.633907311327,13049,37.85818482592676,0.5213424568263278,15.637767250670475,39
1,PER,11,Red Bull Racing,11.0,2.0,Finished,0.0,Italy,2021.0,31.0,0 days 00:01:14.446000,0,0 days 00:01:31.783426229,0 days 00:00:18.563654,0 days 00:00:03.823098360,0 days 00:13:32.883000,2.0,0.0,28.0,5.0,30.0,0.0,Honda,False,11,119.22264831942252,346,6614.235706945385,13131,36.2382885931273,0.24563250369701983,16.31450986289696,39
2,ALO,14,Alpine,10.0,15.0,Finished,1.0,Italy,2021.0,39.0,0 days 00:01:15.593000,0,0 days 00:01:32.310183333,0 days 00:00:17.313071,0 days 00:00:04.821066666,0 days 00:08:45.612333,3.0,0.0,28.0,35.0,0.0,0.0,Renault,False,14,119.97568739504223,329,6669.438103115523,12814,37.93202496428303,0.3208261272777402,15.023685991427927,39
3,LEC,16,Ferrari,4.0,4.0,Finished,12.0,Italy,2021.0,23.0,0 days 00:01:14.740000,0,0 days 00:01:30.440672131,0 days 00:00:18.273455,0 days 00:00:02.480344262,0 days 00:13:40.243000,2.0,0.0,28.0,35.0,0.0,0.0,Ferrari,False,16,119.27763992280121,323,6463.965160287741,12955,45.583552648068775,6.6671679574905385,23.259894227636163,39
4,STR,18,Aston Martin,8.0,10.0,Finished,4.0,Italy,2021.0,22.0,0 days 00:01:15.138000,0,0 days 00:01:31.954716666,0 days 00:00:18.343064,0 days 00:00:04.465600,0 days 00:08:49.539333,3.0,0.0,27.0,36.0,0.0,0.0,Mercedes,False,18,120.10735142993208,330,6538.226282677895,13520,39.345188861317894,3.5416196706519285,19.773416547610097,39
5,TSU,22,AlphaTauri,12.0,20.0,Finished,0.0,Italy,2021.0,20.0,0 days 00:01:19.899000,0,0 days 00:01:32.173566666,0 days 00:00:18.271134,0 days 00:00:04.684450,0 days 00:08:48.453333,3.0,0.0,25.0,7.0,31.0,0.0,,False,22,119.26799007444168,330,6818.6004712133745,12945,41.981652755846305,4.9602727022081865,19.379903250870992,39
6,RIC,3,McLaren,6.0,6.0,Finished,8.0,Italy,2021.0,32.0,0 days 00:01:14.826000,0,0 days 00:01:31.665344262,0 days 00:00:17.845333,0 days 00:00:03.705016393,0 days 00:13:24.583500,2.0,0.0,27.0,6.0,30.0,0.0,Mercedes,False,3,119.61124896608767,307,6813.666215504925,12989,37.38491615910971,0.5113166403488985,12.309196180163923,39
7,OCO,31,Alpine,9.0,9.0,Finished,2.0,Italy,2021.0,24.0,0 days 00:01:15.117000,0,0 days 00:01:31.477440677,0 days 00:00:16.791681,0 days 00:00:04.895559322,0 days 00:05:25.585200,5.0,0.0,26.0,35.0,1.0,1.0,Renault,False,31,119.66077649948618,335,6433.3664937213325,12547,38.437777276486955,0.9349073865202898,17.008797653958943,39
8,VER,33,Red Bull Racing,1.0,3.0,Finished,25.0,Italy,2021.0,23.0,0 days 00:01:14.498000,0,0 days 00:01:29.889426229,0 days 00:00:19.212288,0 days 00:00:01.929098360,0 days 00:13:45.585000,2.0,0.0,27.0,36.0,0.0,0.0,Honda,False,33,120.35210667468732,318,6712.905832518736,12961,37.552472616988744,28.97711607389027,14.798105120685767,39
9,NOR,4,McLaren,3.0,7.0,Finished,15.0,Italy,2021.0,21.0,0 days 00:01:14.454000,0,0 days 00:01:30.795016393,0 days 00:00:17.871450,0 days 00:00:02.834688524,0 days 00:13:27.803500,2.0,0.0,28.0,5.0,30.0,0.0,Mercedes,False,4,119.25826503245858,313,6759.782916008722,13057,38.28022157054415,1.1479559866656641,14.156452866130287,39
10,HAM,44,Mercedes,2.0,1.0,Finished,19.0,Italy,2021.0,35.0,0 days 00:01:14.411000,1,0 days 00:01:29.133413793,0 days 00:00:17.950169,0 days 00:00:01.854482758,0 days 00:06:47.727750,4.0,0.0,28.0,35.0,0.0,0.0,Mercedes,False,44,119.14577537158182,343,6318.017444920671,13513,40.204551720680755,0.8321427676266386,17.256936611775323,39
11,MSC,47,Haas F1 Team,16.0,18.0,+2 Laps,0.0,Italy,2021.0,22.0,0 days 00:01:16.279000,0,0 days 00:01:33.768241379,0 days 00:00:19.336350,0 days 00:00:06.601500,0 days 00:06:54.042500,4.0,0.0,16.0,30.0,10.0,5.0,Ferrari,False,47,115.8938767325864,340,6235.649572649572,12723,31.760082211695114,0.5965360804070482,17.302052785923756,39
12,VET,5,Aston Martin,15.0,0.0,Gearbox,0.0,Italy,2021.0,34.0,0 days 00:01:15.394000,0,0 days 00:01:33.766017241,0 days 00:00:18.657659,0 days 00:00:05.941034482,0 days 00:05:21.415200,5.0,0.0,20.0,12.0,29.0,0.0,Mercedes,False,5,112.31989873925357,344,6099.673860189989,13587,35.323884001303355,0.9023234829686443,16.996265383362157,39
13,SAI,55,Ferrari,5.0,11.0,Finished,10.0,Italy,2021.0,27.0,0 days 00:01:15.199000,0,0 days 00:01:31.024032786,0 days 00:00:18.131709,0 days 00:00:03.063704918,0 days 00:13:26.533500,2.0,0.0,27.0,36.0,0.0,0.0,Ferrari,False,55,119.41020628117403,317,6535.6137052911245,12625,42.723212271599365,3.7922650825876634,20.588014136401235,39
14,RUS,63,Williams,19.0,12.0,Collision,0.0,Italy,2021.0,22.0,0 days 00:01:15.261000,0,0 days 00:01:41.269551724,0 days 00:00:19.172111,0 days 00:00:05.268827586,0 days 00:00:29.983000,1.0,0.0,26.0,5.0,0.0,0.0,Mercedes,False,63,57.57884051432438,341,3304.639622026719,13325,54.95806702258315,36.423791262500934,44.858009374138405,39
15,RAI,7,Alfa Romeo Racing,13.0,16.0,Finished,0.0,Italy,2021.0,41.0,0 days 00:01:15.974000,0,0 days 00:01:32.056383333,0 days 00:00:17.903256,0 days 00:00:04.567266666,0 days 00:08:48.594667,3.0,0.0,26.0,37.0,0.0,0.0,Ferrari,False,7,119.27568488858812,331,6526.482592676141,12843,41.728250244379275,3.651903651903652,20.114294307842695,39
16,BOT,77,Mercedes,18.0,8.0,Collision,0.0,Italy,2021.0,31.0,0 days 00:01:14.672000,0,0 days 00:01:41.312172413,0 days 00:00:19.210633,0 days 00:00:05.311448275,0 days 00:00:30.167000,1.0,0.0,28.0,3.0,0.0,0.0,Mercedes,False,77,57.11346717798331,318,3259.5876381682833,13379,56.86482692934306,37.67451186806026,47.38451512645061,39
17,MAZ,9,Haas F1 Team,17.0,19.0,+2 Laps,0.0,Italy,2021.0,22.0,0 days 00:01:16.797000,0,0 days 00:01:36.364271186,0 days 00:00:18.601933,0 days 00:00:08.296423728,0 days 00:06:39.637750,4.0,0.0,11.0,30.0,8.0,12.0,Ferrari,False,9,115.9403463919593,315,6399.099431034915,12362,31.602501441211118,22.4528160012031,17.582775647291776,39
18,GIO,99,Alfa Romeo Racing,14.0,17.0,+1 Lap,0.0,Italy,2021.0,27.0,0 days 00:01:16.122000,0,0 days 00:01:32.879457627,0 days 00:00:18.034052,0 days 00:00:05.229033898,0 days 00:06:44.688500,4.0,0.0,27.0,35.0,0.0,0.0,Ferrari,False,99,117.7301050204276,327,6549.505927763992,12779,40.282226733839636,3.9050555179587434,18.42995713963456,39
19,GIO,99,Alfa Romeo Racing,14.0,17.0,+1 Lap,0.0,Italy,2021.0,27.0,0 days 00:01:16.122000,0,0 days 00:01:32.879457627,0 days 00:00:18.034052,0 days 00:00:05.229033898,0 days 00:06:44.688500,4.0,0.0,27.0,35.0,0.0,0.0,Ferrari,False,99,117.7301050204276,327,6549.505927763992,12779,40.282226733839636,3.9050555179587434,18.42995713963456,39
0,GAS,10,AlphaTauri,10.0,9.0,Finished,1.0,Portugal,2021.0,24.0,0 days 00:01:19.052000,0,0 days 00:01:27.020415384,0 days 00:00:12.186463,0 days 00:00:02.106507692,0 days 00:00:23.281333,3.0,0.0,0.0,42.0,24.0,0.0,,False,10,142.37159001154384,328,7927.52348259311,12909,47.44884257852846,0.6288352876845495,16.626161978248984,40
1,PER,11,Red Bull Racing,4.0,4.0,Finished,12.0,Portugal,2021.0,31.0,0 days 00:01:18.845000,0,0 days 00:01:26.491076923,0 days 00:00:12.527589,0 days 00:00:01.577169230,0 days 00:00:23.532333,3.0,0.0,0.0,51.0,15.0,0.0,Honda,False,11,142.38513882981954,327,7761.671577860137,12903,46.44911598517528,0.018227109787957958,16.410474512424813,40
2,ALO,14,Alpine,8.0,13.0,Finished,4.0,Portugal,2021.0,39.0,0 days 00:01:19.456000,0,0 days 00:01:26.799615384,0 days 00:00:12.120296,0 days 00:00:01.885707692,0 days 00:00:23.171667,3.0,26.0,0.0,40.0,0.0,0.0,Renault,False,14,142.4988152378638,332,7666.886262834923,12798,47.58454341089981,0.5832675132146546,16.64438908803694,40
3,LEC,16,Ferrari,6.0,8.0,Finished,8.0,Portugal,2021.0,23.0,0 days 00:01:18.769000,0,0 days 00:01:26.714861538,0 days 00:00:12.329626,0 days 00:00:01.800953846,0 days 00:00:23.664000,3.0,41.0,0.0,25.0,0.0,0.0,Ferrari,False,16,142.33468011422323,321,7573.520961176257,12661,54.0325353909715,6.145573850173157,24.849626344249348,40
4,STR,18,Aston Martin,14.0,17.0,+1 Lap,0.0,Portugal,2021.0,22.0,0 days 00:01:19.913000,0,0 days 00:01:27.269406250,0 days 00:00:12.052354,0 days 00:00:02.276359375,0 days 00:00:23.489000,3.0,0.0,0.0,26.0,39.0,0.0,Mercedes,False,18,140.26666261619783,320,7450.780727869251,12577,46.406312655689895,0.8840148247159609,18.369888814630293,40
5,TSU,22,AlphaTauri,15.0,14.0,+1 Lap,0.0,Portugal,2021.0,20.0,0 days 00:01:19.463000,0,0 days 00:01:27.526437500,0 days 00:00:12.045470,0 days 00:00:02.533390625,0 days 00:00:23.670000,3.0,44.0,0.0,21.0,0.0,0.0,,False,22,140.44720213864755,336,7788.612491645908,13308,46.93912145330822,1.2181785041618567,16.60185916519837,40
6,RIC,3,McLaren,9.0,16.0,Finished,2.0,Portugal,2021.0,32.0,0 days 00:01:19.839000,0,0 days 00:01:27.019187500,0 days 00:00:12.236194,0 days 00:00:02.059671875,0 days 00:00:24.319667,3.0,25.0,0.0,41.0,0.0,0.0,Mercedes,False,3,142.42845859408226,331,7832.086669907042,12779,45.04930433197643,0.29770945986997993,14.405492435749437,40
7,OCO,31,Alpine,7.0,6.0,Finished,6.0,Portugal,2021.0,24.0,0 days 00:01:18.586000,0,0 days 00:01:26.919078125,0 days 00:00:12.436693,0 days 00:00:01.943765625,0 days 00:00:23.516000,3.0,44.0,0.0,0.0,22.0,0.0,Renault,False,31,142.41010997022906,336,7433.735767665107,12411,47.57588553375053,0.41618567349170665,17.83522692751686,40
8,VER,33,Red Bull Racing,2.0,3.0,Finished,18.0,Portugal,2021.0,23.0,0 days 00:01:18.209000,0,0 days 00:01:26.367153846,0 days 00:00:12.932792,0 days 00:00:01.453246153,0 days 00:00:24.471000,4.0,29.0,0.0,35.0,2.0,0.0,Honda,False,33,142.4569536423841,326,7647.954310711465,12562,46.60119083783948,1.2333677623184884,18.19065556838204,40
9,NOR,4,McLaren,5.0,7.0,Finished,10.0,Portugal,2021.0,21.0,0 days 00:01:18.481000,0,0 days 00:01:26.663369230,0 days 00:00:12.406964,0 days 00:00:01.749461538,0 days 00:00:23.636667,3.0,0.0,0.0,44.0,22.0,0.0,Mercedes,False,4,142.49504830184094,315,7650.00683516617,12642,46.99814691050489,1.1422322133786986,16.84184944407315,40
10,HAM,44,Mercedes,1.0,2.0,Finished,25.0,Portugal,2021.0,35.0,0 days 00:01:17.968000,0,0 days 00:01:25.932538461,0 days 00:00:12.825052,0 days 00:00:01.018630769,0 days 00:00:23.832333,3.0,29.0,0.0,37.0,0.0,0.0,Mercedes,False,44,142.54049456224558,329,7310.024728112279,13199,48.675830852421164,1.1847621362172671,18.014460173765112,40
11,MSC,47,Haas F1 Team,17.0,19.0,+2 Laps,0.0,Portugal,2021.0,22.0,0 days 00:01:20.452000,0,0 days 00:01:28.611619047,0 days 00:00:11.890673,0 days 00:00:03.537174603,0 days 00:00:23.572667,3.0,32.0,0.0,32.0,0.0,0.0,Ferrari,False,47,138.57637159001155,328,7429.351297162647,12595,40.855550154930434,0.7078194300990339,19.253903639346255,40
12,VET,5,Aston Martin,13.0,10.0,+1 Lap,0.0,Portugal,2021.0,34.0,0 days 00:01:18.970000,0,0 days 00:01:27.308156250,0 days 00:00:12.156171,0 days 00:00:02.315109375,0 days 00:00:23.256000,3.0,0.0,0.0,43.0,22.0,0.0,Mercedes,False,5,140.42684853271766,331,7456.757822467951,12949,47.27285983352573,1.239443465581141,17.838264779148187,40
13,SAI,55,Ferrari,11.0,5.0,Finished,0.0,Portugal,2021.0,27.0,0 days 00:01:18.813000,0,0 days 00:01:27.107323076,0 days 00:00:12.308603,0 days 00:00:02.193415384,0 days 00:00:23.388333,3.0,0.0,0.0,45.0,21.0,0.0,Ferrari,False,55,142.52068776960934,315,7615.8858071571785,12650,48.251048058812806,1.5401907770824472,19.785527674828362,40
14,LAT,6,Williams,18.0,18.0,+2 Laps,0.0,Portugal,2021.0,25.0,0 days 00:01:20.285000,0,0 days 00:01:28.672603174,0 days 00:00:11.785105,0 days 00:00:03.598158730,0 days 00:00:23.431667,3.0,40.0,0.0,24.0,0.0,0.0,Mercedes,False,6,138.34686189926484,335,7324.505103590741,12953,45.12977702169026,0.6956680235737286,20.988516920833586,40
15,RUS,63,Williams,16.0,11.0,+1 Lap,0.0,Portugal,2021.0,22.0,0 days 00:01:19.109000,0,0 days 00:01:28.224546875,0 days 00:00:11.942295,0 days 00:00:03.231500,0 days 00:00:24.376667,3.0,37.0,0.0,28.0,0.0,0.0,Mercedes,False,63,140.56409866942099,329,7440.187010146425,13099,45.20526763472872,0.8414849018773923,16.88437936691172,40
16,BOT,77,Mercedes,3.0,1.0,Finished,16.0,Portugal,2021.0,31.0,0 days 00:01:18.348000,1,0 days 00:01:26.524625,0 days 00:00:13.166103,0 days 00:00:01.567343750,0 days 00:00:24.240000,4.0,27.0,0.0,36.0,3.0,0.0,Mercedes,False,77,142.36660793486845,309,7430.840360896774,13248,49.12944285801081,0.987301780181056,17.45549547360107,40
17,MAZ,9,Haas F1 Team,19.0,20.0,+2 Laps,0.0,Portugal,2021.0,22.0,0 days 00:01:20.912000,0,0 days 00:01:29.598825396,0 days 00:00:12.177962,0 days 00:00:04.524380952,0 days 00:00:24.236500,4.0,12.0,0.0,31.0,21.0,0.0,Ferrari,False,9,138.72252263199465,326,7369.649583814326,12783,40.953308220426514,0.7412357980436235,17.85952974056747,40
18,GIO,99,Alfa Romeo Racing,12.0,12.0,+1 Lap,0.0,Portugal,2021.0,27.0,0 days 00:01:19.216000,0,0 days 00:01:27.199515625,0 days 00:00:12.203726,0 days 00:00:02.206468750,0 days 00:00:23.961000,3.0,43.0,0.0,22.0,0.0,0.0,Ferrari,False,99,140.5203536059299,327,7572.440002430281,12757,49.135943860501854,2.913299714441947,18.937967069688316,40
19,GIO,99,Alfa Romeo Racing,12.0,12.0,+1 Lap,0.0,Portugal,2021.0,27.0,0 days 00:01:19.216000,0,0 days 00:01:27.199515625,0 days 00:00:12.203726,0 days 00:00:02.206468750,0 days 00:00:23.961000,3.0,43.0,0.0,22.0,0.0,0.0,Ferrari,False,99,140.5203536059299,327,7572.440002430281,12757,49.135943860501854,2.913299714441947,18.937967069688316,40
0,GAS,10,AlphaTauri,10.0,12.0,+1 Lap,1.0,Spain,2021.0,24.0,0 days 00:01:17.982000,0,0 days 00:01:26.412515625,0 days 00:00:08.045007,0 days 00:00:03.898671875,0 days 00:00:27.053500,2.0,0.0,0.0,29.0,36.0,0.0,,False,10,144.3713027841508,339,8034.873101010728,12952,46.96198921064054,30.281515470949337,15.188813790537608,41
1,PER,11,Red Bull Racing,5.0,8.0,Finished,10.0,Spain,2021.0,31.0,0 days 00:01:17.669000,0,0 days 00:01:25.529353846,0 days 00:00:08.588697,0 days 00:00:03.040723076,0 days 00:00:21.863500,2.0,0.0,0.0,30.0,36.0,0.0,Honda,False,11,146.69535561480745,336,7793.305822533639,12669,45.28250759595709,33.164878774725615,16.34835989334656,41
2,ALO,14,Alpine,17.0,10.0,+1 Lap,0.0,Spain,2021.0,39.0,0 days 00:01:17.966000,0,0 days 00:01:26.930296875,0 days 00:00:07.898288,0 days 00:00:04.416453125,0 days 00:00:22.761000,2.0,0.0,0.0,40.0,25.0,0.0,Renault,False,14,144.13003038382837,339,7690.224623302536,12393,46.193991442921806,31.893718608544674,14.379611831090717,41
3,LEC,16,Ferrari,4.0,4.0,Finished,12.0,Spain,2021.0,23.0,0 days 00:01:17.510000,0,0 days 00:01:25.428523076,0 days 00:00:08.822671,0 days 00:00:02.939892307,0 days 00:00:21.952500,2.0,0.0,0.0,30.0,36.0,0.0,Ferrari,False,16,146.65281825510013,322,7746.6450982823835,12623,54.89666397966144,5.943448874558195,22.477832206858064,41
4,STR,18,Aston Martin,11.0,11.0,+1 Lap,0.0,Spain,2021.0,22.0,0 days 00:01:17.974000,0,0 days 00:01:26.509625,0 days 00:00:07.648091,0 days 00:00:03.995781250,0 days 00:00:21.594000,2.0,0.0,0.0,17.0,48.0,0.0,Mercedes,False,18,144.51658708997334,349,7708.85477770199,12946,44.56126371922862,5.4597879332795936,16.49717864450921,41
5,TSU,22,AlphaTauri,20.0,16.0,Electrical,0.0,Spain,2021.0,20.0,0 days 00:01:18.556000,0,0 days 00:01:26.127200,0 days 00:00:01.180757,0 days 00:00:02.941400,0 days 00:00:00,0.0,0.0,0.0,0.0,6.0,0.0,,False,22,16.969182116946737,335,1072.8863396787995,12892,74.5529856761952,66.410367706331,69.04259936752031,41
6,RIC,3,McLaren,6.0,7.0,Finished,8.0,Spain,2021.0,32.0,0 days 00:01:17.622000,0,0 days 00:01:25.697923076,0 days 00:00:08.561962,0 days 00:00:03.209292307,0 days 00:00:22.084000,2.0,0.0,0.0,21.0,45.0,0.0,Mercedes,False,3,146.2258944627023,341,7790.244155763627,12907,44.980653562348856,0.4185527376449433,12.528678613505301,41
7,OCO,31,Alpine,9.0,5.0,+1 Lap,2.0,Spain,2021.0,24.0,0 days 00:01:17.580000,0,0 days 00:01:26.460406250,0 days 00:00:07.894050,0 days 00:00:03.946562500,0 days 00:00:22.798000,1.0,0.0,0.0,42.0,23.0,0.0,Renault,False,31,144.41349910088672,341,7504.305791529733,12261,46.60721150865009,27.323742791591744,14.636944254976129,41
8,VER,33,Red Bull Racing,2.0,2.0,Finished,19.0,Spain,2021.0,23.0,0 days 00:01:16.777000,1,0 days 00:01:24.882015384,0 days 00:00:10.096493,0 days 00:00:02.393384615,0 days 00:00:22.578500,2.0,0.0,0.0,36.0,30.0,0.0,Honda,False,33,147.00108513672723,325,7735.265300427854,12384,45.67945061077696,32.09834439139331,13.669622372418925,41
