,Abbreviation,DriverNumber,TeamName,Position,GridPosition,Status,Points,RaceCountry,Year,AgeAtGP,BestQualiTime,FLapPoint,AvgLapTime,SDLapTime,AvgSplitTime,AvgPitTime,PitstopNo,HARD,INTERMEDIATE,MEDIUM,SOFT,WET,Engine,Rain,Driver,AverageSpeed,MaxSpeed,AverageRPM,MaxRPM,AverageThrottle,MaxThrottlePct,Brake,raceID
0,GAS,10,AlphaTauri,17.0,5.0,Retired,0.0,Bahrain,2021.0,24.0,0 days 00:01:29.809000,0,0 days 00:01:39.691180,0 days 00:00:09.870618,0 days 00:00:03.771500,0 days 00:00:29.212667,3.0,28.0,0.0,24.0,0.0,0.0,,False,10,131.3253329297821,326,7305.8581416464895,12851,49.86083535108959,5.544794188861985,19.854721549636803,38
1,PER,11,Red Bull Racing,5.0,0.0,Finished,10.0,Bahrain,2021.0,31.0,0 days 00:01:30.659000,0,0 days 00:01:38.690781818,0 days 00:00:09.238201,0 days 00:00:02.195418181,0 days 00:00:24.096333,3.0,36.0,0.0,20.0,0.0,0.0,Honda,False,11,143.58411016949154,330,7873.326150121065,12924,47.10163438256659,1.4800242130750605,17.418280871670703,38
2,ALO,14,Alpine,19.0,9.0,Brakes,0.0,Bahrain,2021.0,39.0,0 days 00:01:30.249000,0,0 days 00:01:41.354366666,0 days 00:00:09.050427,0 days 00:00:04.194800,0 days 00:00:24.574000,2.0,3.0,0.0,18.0,11.0,0.0,Renault,False,14,82.54833535108959,334,4576.917947941889,12422,56.28459443099273,28.477602905569004,38.474576271186436,38
3,LEC,16,Ferrari,6.0,4.0,Finished,8.0,Bahrain,2021.0,23.0,0 days 00:01:29.678000,0,0 days 00:01:38.242611111,0 days 00:00:07.326363,0 days 00:00:02.464851851,0 days 00:00:24.550500,2.0,24.0,0.0,20.0,12.0,0.0,Ferrari,False,16,143.39730629539952,320,7538.635290556901,12558,52.42708837772397,4.533898305084746,23.017554479418887,38
4,STR,18,Aston Martin,10.0,10.0,Finished,1.0,Bahrain,2021.0,22.0,0 days 00:01:30.601000,0,0 days 00:01:39.603890909,0 days 00:00:09.904268,0 days 00:00:03.108527272,0 days 00:00:25.204500,2.0,28.0,0.0,16.0,12.0,0.0,Mercedes,False,18,142.9894975786925,329,7751.779933414044,13239,45.68653147699758,1.301452784503632,17.430387409200968,38
5,TSU,22,AlphaTauri,9.0,13.0,Finished,2.0,Bahrain,2021.0,20.0,0 days 00:01:30.607000,0,0 days 00:01:39.401581818,0 days 00:00:09.464972,0 days 00:00:02.906218181,0 days 00:00:24.687000,2.0,41.0,0.0,15.0,0.0,0.0,,False,22,143.36728208232446,331,7885.212923728814,12970,47.86041162227603,0.4691283292978209,16.72215496368039,38
6,RIC,3,McLaren,7.0,6.0,Finished,6.0,Bahrain,2021.0,32.0,0 days 00:01:29.927000,0,0 days 00:01:38.339092592,0 days 00:00:07.392319,0 days 00:00:02.561333333,0 days 00:00:24.671500,2.0,24.0,0.0,19.0,13.0,0.0,Mercedes,False,3,143.39570217917677,338,7821.551301452784,12750,44.93214285714286,12.224576271186441,13.934624697336561,38
7,OCO,31,Alpine,13.0,16.0,+1 Lap,0.0,Bahrain,2021.0,24.0,0 days 00:01:31.724000,0,0 days 00:01:40.002388888,0 days 00:00:09.536594,0 days 00:00:03.425444444,0 days 00:00:24.848500,2.0,24.0,0.0,18.0,13.0,0.0,Renault,False,31,140.9557808716707,331,7511.730054479419,12312,46.74588377723971,0.024213075060532687,15.550847457627118,38
8,VER,33,Red Bull Racing,2.0,1.0,Finished,18.0,Bahrain,2021.0,23.0,0 days 00:01:28.997000,0,0 days 00:01:37.192518518,0 days 00:00:07.525956,0 days 00:00:01.414759259,0 days 00:00:24.307500,2.0,17.0,0.0,39.0,0.0,0.0,Honda,False,33,143.32917675544795,329,7727.511682808717,12463,46.79839588377724,0.3843825665859564,15.572033898305085,38
9,NOR,4,McLaren,4.0,7.0,Finished,12.0,Bahrain,2021.0,21.0,0 days 00:01:29.974000,0,0 days 00:01:37.991703703,0 days 00:00:07.535123,0 days 00:00:02.213944444,0 days 00:00:25.269500,2.0,23.0,0.0,21.0,12.0,0.0,Mercedes,False,4,143.5601392251816,328,7802.551785714286,12676,45.868492736077485,0.15435835351089588,15.820217917675544,38
10,HAM,44,Mercedes,1.0,2.0,Finished,25.0,Bahrain,2021.0,35.0,0 days 00:01:29.385000,0,0 days 00:01:37.179685185,0 days 00:00:07.615963,0 days 00:00:01.401925925,0 days 00:00:24.457500,2.0,43.0,0.0,13.0,0.0,0.0,Mercedes,False,44,143.37981234866828,322,7487.5147094430995,13167,48.9921004842615,0.7838983050847457,17.221549636803875,38
11,MSC,47,Haas F1 Team,16.0,18.0,+1 Lap,0.0,Bahrain,2021.0,22.0,0 days 00:01:32.449000,0,0 days 00:01:41.003333333,0 days 00:00:09.629873,0 days 00:00:04.426388888,0 days 00:00:25.570500,2.0,22.0,0.0,33.0,0.0,0.0,Ferrari,False,47,141.2943704600484,325,7614.213438256658,12462,43.49412832929782,1.0926150121065374,17.87227602905569,38
12,VET,5,Aston Martin,15.0,20.0,+1 Lap,0.0,Bahrain,2021.0,34.0,0 days 00:01:32.056000,0,0 days 00:01:40.197074074,0 days 00:00:08.944703,0 days 00:00:03.620129629,0 days 00:00:24.626000,1.0,31.0,0.0,24.0,0.0,0.0,Mercedes,False,5,141.0247881355932,329,7601.0799031477,12723,44.6034200968523,0.12106537530266344,17.273002421307506,38
13,SAI,55,Ferrari,8.0,8.0,Finished,4.0,Bahrain,2021.0,27.0,0 days 00:01:30.009000,0,0 days 00:01:39.213000,0 days 00:00:09.837620,0 days 00:00:02.717636363,0 days 00:00:24.347000,2.0,19.0,0.0,22.0,15.0,0.0,Ferrari,False,55,143.29427966101696,333,7665.934685230024,12759,50.482445520581116,2.6483050847457625,20.293583535108958,38
14,LAT,6,Williams,18.0,17.0,Retired,0.0,Bahrain,2021.0,25.0,0 days 00:01:31.936000,0,0 days 00:01:41.705400,0 days 00:00:09.464499,0 days 00:00:04.974180,0 days 00:00:25.014500,2.0,0.0,0.0,37.0,14.0,0.0,Mercedes,False,6,129.2169794188862,322,6881.772518159806,13223,46.85042372881356,4.343220338983051,20.547820823244553,38
15,RUS,63,Williams,14.0,15.0,+1 Lap,0.0,Bahrain,2021.0,22.0,0 days 00:01:31.316000,0,0 days 00:01:39.953518518,0 days 00:00:09.120804,0 days 00:00:03.376574074,0 days 00:00:24.434500,2.0,0.0,0.0,42.0,13.0,0.0,Mercedes,False,63,141.069098062954,329,7357.517615012107,12485,44.687046004842614,0.4903147699757869,15.006053268765132,38
16,RAI,7,Alfa Romeo Racing,11.0,14.0,Finished,0.0,Bahrain,2021.0,41.0,0 days 00:01:31.238000,0,0 days 00:01:39.570709090,0 days 00:00:09.701386,0 days 00:00:03.075345454,0 days 00:00:24.076500,2.0,16.0,0.0,40.0,0.0,0.0,Ferrari,False,7,143.51716101694916,331,7547.639225181598,12683,48.08111380145279,1.6343825665859564,18.63498789346247,38
17,BOT,77,Mercedes,3.0,3.0,Finished,16.0,Bahrain,2021.0,31.0,0 days 00:01:29.586000,1,0 days 00:01:37.839055555,0 days 00:00:08.360931,0 days 00:00:02.061296296,0 days 00:00:27.241667,3.0,38.0,0.0,18.0,0.0,0.0,Mercedes,False,77,143.3736985472155,322,7567.793553268765,13455,46.83568401937046,0.009079903147699757,16.513317191283296,38
