,Abbreviation,DriverNumber,TeamName,Position,GridPosition,Status,Points,RaceCountry,Year,AgeAtGP,BestQualiTime,FLapPoint,AvgLapTime,SDLapTime,AvgSplitTime,AvgPitTime,PitstopNo,HARD,INTERMEDIATE,MEDIUM,SOFT,WET,Engine,PrevPodiumRace,Rain,Driver,AverageSpeed,MaxSpeed,AverageRPM,MaxRPM,AverageThrottle,MaxThrottlePct,Brake,raceID
10,NOR,4,McLaren,12.0,8.0,+1 Lap,0.0,Australia,2019.0,19.0,0 days 00:01:22.304000,0.0,0 days 00:01:30.609678571,0 days 00:00:02.678407,0 days 00:00:02.858625,0 days 00:00:21.627000,1.0,42.0,0.0,0.0,15.0,0.0,Renault,0,False,4,152.66932606862554,322,7843.567198547058,12281,50.23675163780243,3.4637088927806965,13.738081338781862,1
11,HAM,44,Mercedes,2.0,1.0,Finished,18.0,Australia,2019.0,33.0,0 days 00:01:20.486000,0.0,0 days 00:01:28.654807017,0 days 00:00:02.666781,0 days 00:00:00.923473684,0 days 00:00:21.515000,1.0,0.0,0.0,43.0,15.0,0.0,Mercedes,8,False,44,155.31439320230913,314,7700.2479730168,12811,51.78387494324447,35.571122786534346,11.876499967568268,1
12,VET,5,Ferrari,4.0,3.0,Finished,12.0,Australia,2019.0,32.0,0 days 00:01:21.190000,0.0,0 days 00:01:29.277333333,0 days 00:00:02.489090,0 days 00:00:01.546000,0 days 00:00:21.995000,1.0,0.0,0.0,44.0,14.0,0.0,Ferrari,7,False,5,155.54151261594345,309,7842.891061814879,12613,56.09807355516637,3.6680287993773106,14.996432509567361,1
13,SAI,55,McLaren,20.0,18.0,Engine,0.0,Australia,2019.0,25.0,0 days 00:01:23.084000,0.0,0 days 00:01:31.466250,0 days 00:00:00.451487,0 days 00:00:02.536250,0 days 00:00:00,0.0,0.0,0.0,0.0,9.0,0.0,Renault,0,False,55,28.426315106700397,323,1561.9971784393852,12079,71.07563079717195,59.4408769540118,63.19322825452423,1
14,RUS,63,Williams,16.0,19.0,+2 Laps,0.0,Australia,2019.0,20.0,0 days 00:01:24.360000,0.0,0 days 00:01:32.199490909,0 days 00:00:03.885362,0 days 00:00:04.408963636,0 days 00:00:21.616000,2.0,14.0,0.0,26.0,16.0,0.0,Mercedes,0,False,63,150.26470779010182,320,7590.393591489914,12836,51.09385743010962,38.674839462930535,12.612700265940196,1
15,RAI,7,Alfa Romeo Racing,8.0,9.0,+1 Lap,4.0,Australia,2019.0,39.0,0 days 00:01:22.314000,0.0,0 days 00:01:29.878607142,0 days 00:00:02.917739,0 days 00:00:02.127553571,0 days 00:00:23.299000,1.0,0.0,0.0,45.0,12.0,0.0,Ferrari,6,False,7,153.50136213271065,321,7826.100408639813,13000,58.71803852889667,8.451709152234546,22.338976454563145,1
16,BOT,77,Mercedes,1.0,2.0,Finished,26.0,Australia,2019.0,29.0,0 days 00:01:20.598000,1.0,0 days 00:01:28.307228070,0 days 00:00:02.628517,0 days 00:00:00.575894736,0 days 00:00:22.014000,1.0,0.0,0.0,35.0,23.0,0.0,Mercedes,1,False,77,156.01128624245962,314,7738.053479924758,12428,51.196795744956866,39.60887332165791,11.091652072387625,1
17,GRO,8,Haas F1 Team,18.0,6.0,Wheel,0.0,Australia,2019.0,32.0,0 days 00:01:21.826000,0.0,0 days 00:01:31.456642857,0 days 00:00:05.051781,0 days 00:00:03.093571428,0 days 00:00:29.981000,1.0,0.0,0.0,14.0,15.0,0.0,Ferrari,0,False,8,80.4782058766297,321,4204.766102354543,12715,61.39501848608679,34.413309982486865,42.42719076344295,1
18,KUB,88,Williams,17.0,20.0,+3 Laps,0.0,Australia,2019.0,34.0,0 days 00:01:26.067000,0.0,0 days 00:01:33.205240740,0 days 00:00:04.159887,0 days 00:00:05.392851851,0 days 00:00:25.743000,3.0,1.0,0.0,27.0,27.0,0.0,Mercedes,1,False,88,147.53395602257248,323,7567.3233119283905,12960,50.763410520853604,37.001362132710646,16.027761561912175,1
19,GIO,99,Alfa Romeo Racing,15.0,14.0,+1 Lap,0.0,Australia,2019.0,25.0,0 days 00:01:22.431000,0.0,0 days 00:01:30.949767857,0 days 00:00:03.707497,0 days 00:00:03.198714285,0 days 00:00:27.172000,1.0,0.0,0.0,27.0,30.0,0.0,Ferrari,0,False,99,152.76652396704935,303,7751.112667834209,12668,60.77930206914445,8.270091457482,22.228708568463386,1
0,GAS,10,Red Bull Racing,8.0,13.0,Finished,4.0,Bahrain,2019.0,22.0,0 days 00:01:29.526000,0.0,0 days 00:01:40.251214285,0 days 00:00:08.511713,0 days 00:00:03.820964285,0 days 00:00:26.020500,2.0,0.0,0.0,18.0,39.0,0.0,Honda,0,False,10,144.97824093881792,337,7840.687366297903,12756,48.554458773913574,1.7022186907890715,16.89994499113746,2
1,PER,11,Racing Point,10.0,14.0,Finished,1.0,Bahrain,2019.0,29.0,0 days 00:01:29.756000,0.0,0 days 00:01:40.371625,0 days 00:00:06.961739,0 days 00:00:03.941375,0 days 00:00:26.967000,2.0,0.0,0.0,49.0,8.0,0.0,Mercedes,1,False,11,144.82308538597886,343,7805.01656377972,13312,46.9741152741275,18.345455656744697,17.147484872562803,2
2,LEC,16,Ferrari,3.0,1.0,Finished,16.0,Bahrain,2019.0,21.0,0 days 00:01:27.866000,1.0,0 days 00:01:39.427857142,0 days 00:00:08.081631,0 days 00:00:02.997607142,0 days 00:00:24.438000,2.0,0.0,0.0,44.0,13.0,0.0,Ferrari,0,False,16,145.7774891510299,333,7500.414002811564,12641,54.12187519100299,4.926349245156164,20.056842491290265,2
3,STR,18,Racing Point,14.0,18.0,+1 Lap,0.0,Bahrain,2019.0,20.0,0 days 00:01:30.217000,0.0,0 days 00:01:40.883345454,0 days 00:00:08.061027,0 days 00:00:04.675054545,0 days 00:00:30.469000,2.0,0.0,0.0,55.0,1.0,0.0,Mercedes,0,False,18,143.0912535908563,336,7824.878430413789,13284,44.79918709125359,2.7596112707047245,16.92133732656928,2
4,MAG,20,Haas F1 Team,13.0,6.0,+1 Lap,0.0,Bahrain,2019.0,26.0,0 days 00:01:28.757000,0.0,0 days 00:01:41.158018518,0 days 00:00:08.236629,0 days 00:00:04.950037037,0 days 00:00:25.465000,2.0,0.0,0.0,28.0,28.0,0.0,Ferrari,0,False,20,143.52420389951715,322,7641.391051891694,12489,51.821007273394045,6.799706619399792,22.932583582910578,2
5,ALB,23,Toro Rosso,9.0,12.0,Finished,2.0,Bahrain,2019.0,23.0,0 days 00:01:29.513000,0.0,0 days 00:01:40.320767857,0 days 00:00:07.022775,0 days 00:00:03.890517857,0 days 00:00:25.250500,2.0,0.0,0.0,32.0,25.0,0.0,Honda,0,False,23,144.88115029643666,342,7821.05574231404,13141,48.92812175294909,1.3385489884481387,19.10641158853371,2
6,KVY,26,Toro Rosso,12.0,15.0,+1 Lap,0.0,Bahrain,2019.0,24.0,0 days 00:01:29.854000,0.0,0 days 00:01:41.024290909,0 days 00:00:09.894101,0 days 00:00:04.816000,0 days 00:00:28.634500,2.0,0.0,0.0,26.0,30.0,0.0,Honda,0,False,26,143.57857099199316,336,7825.9365870056845,13268,48.11998044129332,0.7609559317890104,16.249006784426378,2
7,HUL,27,Renault,17.0,17.0,Engine,0.0,Bahrain,2019.0,31.0,0 days 00:01:30.034000,0.0,0 days 00:01:38.449173076,0 days 00:00:04.166440,0 days 00:00:02.705269230,0 days 00:00:25.375500,2.0,0.0,0.0,21.0,32.0,0.0,Renault,0,False,27,134.6239227431086,335,6953.410457795978,12386,51.18504370148524,6.286290569036122,20.56414644581627,2
8,RIC,3,Renault,18.0,10.0,Out of fuel,0.0,Bahrain,2019.0,30.0,0 days 00:01:29.488000,0.0,0 days 00:01:38.710519230,0 days 00:00:03.186570,0 days 00:00:02.966615384,0 days 00:00:25.676000,1.0,0.0,0.0,29.0,24.0,0.0,Renault,0,False,3,134.7701240755455,334,7031.573864678198,12481,50.35285129270827,6.188497035633519,19.833750993215574,2
9,VER,33,Red Bull Racing,4.0,5.0,Finished,12.0,Bahrain,2019.0,21.0,0 days 00:01:28.752000,0.0,0 days 00:01:39.402375,0 days 00:00:07.935868,0 days 00:00:02.972125,0 days 00:00:25.464000,2.0,0.0,0.0,46.0,11.0,0.0,Honda,0,False,33,145.6046085202616,322,7792.32342155125,12674,45.02463174622578,32.65387201271316,16.132876963510785,2
10,NOR,4,McLaren,6.0,9.0,Finished,8.0,Bahrain,2019.0,19.0,0 days 00:01:29.043000,0.0,0 days 00:01:40.016714285,0 days 00:00:07.824492,0 days 00:00:03.586464285,0 days 00:00:24.446000,2.0,0.0,0.0,24.0,33.0,0.0,Renault,0,False,4,144.98716459874092,338,7688.503178289836,12281,47.51925310188864,0.0030560479188313674,16.239838640669884,2
11,HAM,44,Mercedes,1.0,3.0,Finished,25.0,Bahrain,2019.0,33.0,0 days 00:01:28.190000,0.0,0 days 00:01:38.348000,0 days 00:00:07.211253,0 days 00:00:02.139709090,0 days 00:00:24.289500,2.0,0.0,0.0,23.0,34.0,0.0,Mercedes,7,False,44,145.7354073711876,331,7501.931636208055,12843,48.209553205794265,0.02139233543181957,15.136605341971762,2
12,VET,5,Ferrari,5.0,2.0,Finished,10.0,Bahrain,2019.0,32.0,0 days 00:01:28.160000,0.0,0 days 00:01:39.996803571,0 days 00:00:09.271804,0 days 00:00:03.566553571,0 days 00:00:27.544333,3.0,0.0,0.0,24.0,33.0,0.0,Ferrari,5,False,5,145.66172605586456,335,7500.713801112402,12997,54.56194609131471,6.121263981419229,21.28231770674164,2
13,SAI,55,McLaren,19.0,7.0,Collision damage,0.0,Bahrain,2019.0,25.0,0 days 00:01:28.813000,0.0,0 days 00:01:40.276038461,0 days 00:00:08.418420,0 days 00:00:04.532134615,0 days 00:00:31.854000,3.0,16.0,0.0,20.0,17.0,0.0,Renault,0,False,55,134.29108856426868,334,7055.572214412322,12522,45.72425279628384,0.7915164109773242,17.670069066682967,2
14,RUS,63,Williams,15.0,19.0,+1 Lap,0.0,Bahrain,2019.0,20.0,0 days 00:01:31.759000,0.0,0 days 00:01:42.059800,0 days 00:00:07.751217,0 days 00:00:05.851509090,0 days 00:00:24.772500,2.0,0.0,0.0,44.0,12.0,0.0,Mercedes,0,False,63,142.60830633824338,328,7569.090978546544,13174,47.000794572458894,0.3300531752337877,17.000794572458897,2
15,RAI,7,Alfa Romeo Racing,7.0,8.0,Finished,6.0,Bahrain,2019.0,39.0,0 days 00:01:29.022000,0.0,0 days 00:01:40.101214285,0 days 00:00:08.106228,0 days 00:00:03.670964285,0 days 00:00:25.634000,2.0,0.0,0.0,24.0,33.0,0.0,Ferrari,8,False,7,145.5577898661451,337,7589.809424851782,12944,56.91528635168999,9.59293441721166,26.297292341543915,2
16,BOT,77,Mercedes,2.0,4.0,Finished,18.0,Bahrain,2019.0,29.0,0 days 00:01:28.256000,0.0,0 days 00:01:39.380910714,0 days 00:00:08.248037,0 days 00:00:02.950660714,0 days 00:00:24.649000,2.0,0.0,0.0,27.0,30.0,0.0,Mercedes,2,False,77,147.0028726850437,331,7625.554611576309,13159,47.18033738769024,34.585294297414585,15.15494162948475,2
17,GRO,8,Haas F1 Team,20.0,11.0,Retired,0.0,Bahrain,2019.0,32.0,0 days 00:01:29.015000,0.0,0 days 00:01:40.586533333,0 days 00:00:06.866675,0 days 00:00:04.466066666,0 days 00:00:32.082000,1.0,0.0,0.0,15.0,1.0,0.0,Ferrari,2,False,8,42.52634313306033,300,2395.2894994193507,12651,67.95308966444594,52.50595929344172,57.86015524723428,2
18,KUB,88,Williams,16.0,20.0,+2 Laps,0.0,Bahrain,2019.0,34.0,0 days 00:01:31.799000,0.0,0 days 00:01:42.866018518,0 days 00:00:08.997011,0 days 00:00:06.857703703,0 days 00:00:24.490000,2.0,0.0,0.0,39.0,16.0,0.0,Mercedes,1,False,88,140.95467880936374,329,7565.475643298087,12974,46.15503331092231,30.47796589450523,18.152924637858323,2
19,GIO,99,Alfa Romeo Racing,11.0,16.0,Finished,0.0,Bahrain,2019.0,25.0,0 days 00:01:30.026000,0.0,0 days 00:01:40.347892857,0 days 00:00:06.879260,0 days 00:00:03.917642857,0 days 00:00:26.302500,2.0,0.0,0.0,25.0,32.0,0.0,Ferrari,0,False,99,145.13070716948843,335,7459.4097854654365,12459,56.7233359819082,9.045901839740846,25.536336409754906,2
0,GAS,10,Red Bull Racing,6.0,6.0,Finished,9.0,China,2019.0,22.0,0 days 00:01:32.930000,1.0,0 days 00:01:40.027909090,0 days 00:00:04.549585,0 days 00:00:02.840600,0 days 00:00:22.477000,3.0,20.0,0.0,14.0,22.0,0.0,Honda,0,False,10,146.354186118892,324,7563.585216308746,12673,48.2177093059446,0.3890445066915655,13.43915343915344,3
1,PER,11,Racing Point,8.0,12.0,+1 Lap,4.0,China,2019.0,29.0,0 days 00:01:33.299000,0.0,0 days 00:01:40.433055555,0 days 00:00:02.923554,0 days 00:00:03.231444444,0 days 00:00:23.733000,1.0,35.0,0.0,20.0,0.0,0.0,Mercedes,0,False,11,144.47855586679117,324,7521.543915343916,13223,45.08966697790227,18.69281045751634,15.150949268596328,3
2,LEC,16,Ferrari,5.0,4.0,Finished,10.0,China,2019.0,21.0,0 days 00:01:31.865000,0.0,0 days 00:01:39.046636363,0 days 00:00:04.213128,0 days 00:00:01.859327272,0 days 00:00:23.574000,2.0,20.0,0.0,36.0,0.0,0.0,Ferrari,0,False,16,147.24506691565514,329,7382.939153439153,12470,53.57827575474634,4.898848428260193,20.47930283224401,3
3,STR,18,Racing Point,12.0,16.0,+1 Lap,0.0,China,2019.0,20.0,0 days 00:01:34.292000,0.0,0 days 00:01:40.838907407,0 days 00:00:03.724597,0 days 00:00:03.637296296,0 days 00:00:23.490500,2.0,24.0,0.0,20.0,11.0,0.0,Mercedes,0,False,18,144.58253968253968,334,7646.0923436041085,13190,44.78089013383131,13.554310613134144,14.80859010270775,3
4,MAG,20,Haas F1 Team,13.0,9.0,+1 Lap,0.0,China,2019.0,26.0,0 days 00:01:33.150000,0.0,0 days 00:01:40.903444444,0 days 00:00:03.835907,0 days 00:00:03.701833333,0 days 00:00:23.673500,2.0,24.0,0.0,22.0,9.0,0.0,Ferrari,0,False,20,144.50323685029568,340,7469.212542794896,12553,54.6552443199502,9.62962962962963,24.90507314036726,3
5,KVY,26,Toro Rosso,19.0,11.0,Collision,0.0,China,2019.0,24.0,0 days 00:01:33.236000,0.0,0 days 00:01:42.415900,0 days 00:00:07.192723,0 days 00:00:04.749975,0 days 00:00:28.837667,3.0,5.0,0.0,25.0,11.0,0.0,Honda,1,False,26,107.49060068471833,336,5889.155960161843,12790,53.499097416744476,18.375350140056025,30.043572984749456,3
6,HUL,27,Renault,20.0,8.0,Power Unit,0.0,China,2019.0,31.0,0 days 00:01:32.962000,0.0,0 days 00:01:43.384800,0 days 00:00:05.583390,0 days 00:00:04.490200,0 days 00:00:24.107000,1.0,5.0,0.0,0.0,11.0,0.0,Renault,0,False,27,43.549828820417055,338,2450.988297541239,12272,67.64313725490196,51.403672580143166,56.1437908496732,3
7,RIC,3,Renault,7.0,7.0,+1 Lap,6.0,China,2019.0,30.0,0 days 00:01:32.958000,0.0,0 days 00:01:40.418981481,0 days 00:00:02.879353,0 days 00:00:03.217370370,0 days 00:00:23.506000,1.0,37.0,0.0,0.0,18.0,0.0,Renault,1,False,3,144.91350762527233,315,7852.332804232804,12176,47.25546218487395,33.91534391534392,11.481481481481481,3
8,VER,33,Red Bull Racing,4.0,5.0,Finished,12.0,China,2019.0,21.0,0 days 00:01:32.089000,0.0,0 days 00:01:38.931509090,0 days 00:00:03.892214,0 days 00:00:01.744200,0 days 00:00:22.794000,2.0,17.0,0.0,39.0,0.0,0.0,Honda,1,False,33,147.3394024276377,332,7617.078182384064,12746,45.969810146280736,34.92063492063492,14.366635543106131,3
9,NOR,4,McLaren,18.0,15.0,Collision,0.0,China,2019.0,19.0,0 days 00:01:33.967000,0.0,0 days 00:01:42.299510204,0 days 00:00:08.549940,0 days 00:00:04.960918367,0 days 00:00:35.633333,3.0,16.0,0.0,18.0,16.0,0.0,Renault,0,False,4,130.86598194833488,332,6990.1598506069095,12235,41.18994708994709,0.967942732648615,12.222222222222221,3
10,HAM,44,Mercedes,1.0,2.0,Finished,25.0,China,2019.0,33.0,0 days 00:01:31.570000,0.0,0 days 00:01:38.544418181,0 days 00:00:04.005881,0 days 00:00:01.357109090,0 days 00:00:23.120500,2.0,14.0,0.0,42.0,0.0,0.0,Mercedes,8,False,44,148.02701525054465,323,7421.829909741675,12753,48.28285091814504,33.311546840958606,12.187986305633364,3
11,VET,5,Ferrari,3.0,3.0,Finished,15.0,China,2019.0,32.0,0 days 00:01:31.848000,0.0,0 days 00:01:38.715654545,0 days 00:00:03.965037,0 days 00:00:01.528345454,0 days 00:00:22.532500,2.0,17.0,0.0,39.0,0.0,0.0,Ferrari,5,False,5,148.78910675381263,331,7564.270961718021,12535,54.318269530034236,5.904139433551198,21.858076563958917,3
12,SAI,55,McLaren,14.0,14.0,+1 Lap,0.0,China,2019.0,25.0,0 days 00:01:33.523000,0.0,0 days 00:01:40.874055555,0 days 00:00:06.235207,0 days 00:00:03.672444444,0 days 00:00:34.205000,2.0,35.0,0.0,1.0,19.0,0.0,Renault,0,False,55,144.05191409897293,327,7513.644600062247,12073,46.51671335200747,0.10893246187363835,14.858387799564271,3
13,RUS,63,Williams,16.0,17.0,+2 Laps,0.0,China,2019.0,20.0,0 days 00:01:35.253000,0.0,0 days 00:01:42.379641509,0 days 00:00:03.670280,0 days 00:00:05.131622641,0 days 00:00:24.148500,2.0,27.0,0.0,22.0,5.0,0.0,Mercedes,0,False,63,142.29106753812636,326,7550.296265172736,13014,48.268534080298785,2.253345782757547,16.59508247743542,3
14,RAI,7,Alfa Romeo Racing,9.0,13.0,+1 Lap,2.0,China,2019.0,39.0,0 days 00:01:33.419000,0.0,0 days 00:01:40.491074074,0 days 00:00:02.942063,0 days 00:00:03.289462962,0 days 00:00:23.888000,1.0,30.0,0.0,25.0,0.0,0.0,Ferrari,6,False,7,145.03958916900095,339,7622.103361344538,12992,52.638530967942735,6.271397447868036,23.03454715219421,3
15,BOT,77,Mercedes,2.0,1.0,Finished,18.0,China,2019.0,29.0,0 days 00:01:31.547000,0.0,0 days 00:01:38.627472727,0 days 00:00:03.919366,0 days 00:00:01.440163636,0 days 00:00:23.139500,2.0,15.0,0.0,41.0,0.0,0.0,Mercedes,1,False,77,147.41935885465298,333,7505.075132275132,12455,47.420354808590105,35.655150949268595,12.595704948646125,3
16,GRO,8,Haas F1 Team,11.0,10.0,+1 Lap,0.0,China,2019.0,32.0,0 days 00:01:33.156000,0.0,0 days 00:01:40.776851851,0 days 00:00:03.903041,0 days 00:00:03.575240740,0 days 00:00:23.390500,2.0,27.0,0.0,20.0,8.0,0.0,Ferrari,0,False,8,145.04450669156552,330,7556.037254901961,12754,50.13993152816682,5.480859010270775,19.81637099284158,3
17,KUB,88,Williams,17.0,18.0,+2 Laps,0.0,China,2019.0,34.0,0 days 00:01:35.281000,0.0,0 days 00:01:42.670000,0 days 00:00:04.236136,0 days 00:00:05.421981132,0 days 00:00:32.627000,1.0,28.0,0.0,26.0,0.0,0.0,Mercedes,0,False,88,141.77233115468408,324,7567.7267351385,12763,46.554715219421105,0.8123249299719889,17.14908185496421,3
18,GIO,99,Alfa Romeo Racing,15.0,19.0,+1 Lap,0.0,China,2019.0,25.0,0 days 00:02:16.522000,0.0,0 days 00:01:41.074722222,0 days 00:00:04.295595,0 days 00:00:03.873111111,0 days 00:00:25.160500,2.0,0.0,0.0,48.0,7.0,0.0,Ferrari,0,False,99,144.60152505446624,330,7515.582352941176,13126,55.29474011826953,8.0765639589169,23.370681605975722,3
0,GAS,10,Red Bull Racing,17.0,0.0,Transmission,0.0,Azerbaijan,2019.0,22.0,0 days 00:01:41.335000,0.0,0 days 00:01:47.943432432,0 days 00:00:01.974767,0 days 00:00:01.635540540,0 days 00:00:00,0.0,0.0,0.0,38.0,0.0,0.0,Honda,0,False,10,106.48281722054381,344,5503.933943856999,12503,72.72268378650554,36.60309667673716,47.22117321248741,4
1,PER,11,Racing Point,6.0,5.0,Finished,8.0,Azerbaijan,2019.0,29.0,0 days 00:01:41.593000,0.0,0 days 00:01:49.498360,0 days 00:00:06.374395,0 days 00:00:03.482540,0 days 00:00:20.939000,1.0,0.0,0.0,41.0,10.0,0.0,Mercedes,1,False,11,146.17277190332325,339,7714.543271651561,13159,47.950811933534744,32.820367573011076,17.51636455186304,4
2,LEC,16,Ferrari,5.0,8.0,Finished,11.0,Azerbaijan,2019.0,21.0,0 days 00:01:41.426000,1.0,0 days 00:01:49.258120,0 days 00:00:06.763091,0 days 00:00:03.242300,0 days 00:00:20.119500,2.0,0.0,0.0,34.0,17.0,0.0,Ferrari,0,False,16,146.653417673716,345,7558.664526686807,12533,55.69568227593152,6.165030211480362,24.59718026183283,4
3,STR,18,Racing Point,9.0,13.0,Finished,2.0,Azerbaijan,2019.0,20.0,0 days 00:01:42.630000,0.0,0 days 00:01:49.947620,0 days 00:00:06.376900,0 days 00:00:03.931800,0 days 00:00:23.099000,1.0,0.0,0.0,41.0,10.0,0.0,Mercedes,1,False,18,145.7925478348439,346,7849.69458081571,13130,46.862411883182276,11.134189325276939,17.365307150050352,4
4,MAG,20,Haas F1 Team,13.0,12.0,+1 Lap,0.0,Azerbaijan,2019.0,26.0,0 days 00:01:42.382000,0.0,0 days 00:01:51.018816326,0 days 00:00:07.269393,0 days 00:00:04.977306122,0 days 00:00:20.488500,2.0,0.0,0.0,32.0,18.0,0.0,Ferrari,0,False,20,144.72872608257805,342,7697.625377643504,12455,51.745310926485395,6.190206445115811,23.66880664652568,4
5,ALB,23,Toro Rosso,11.0,11.0,+1 Lap,0.0,Azerbaijan,2019.0,23.0,0 days 00:01:42.154000,0.0,0 days 00:01:50.419163265,0 days 00:00:06.511659,0 days 00:00:04.377653061,0 days 00:00:20.720000,1.0,0.0,0.0,38.0,12.0,0.0,Honda,0,False,23,145.29871601208458,360,7629.140986908358,13060,48.265451913393754,1.1581067472306144,19.08043806646526,4
6,KVY,26,Toro Rosso,19.0,6.0,Collision,0.0,Azerbaijan,2019.0,25.0,0 days 00:01:41.681000,0.0,0 days 00:01:51.703187500,0 days 00:00:07.281776,0 days 00:00:05.253718750,0 days 00:00:21.013000,1.0,0.0,0.0,28.0,5.0,0.0,Honda,0,False,26,94.47601963746223,343,5032.883559919436,13018,59.38906722054381,27.001510574018127,38.18605236656596,4
7,HUL,27,Renault,14.0,15.0,+1 Lap,0.0,Azerbaijan,2019.0,31.0,0 days 00:01:43.427000,0.0,0 days 00:01:51.516673469,0 days 00:00:06.523968,0 days 00:00:05.475163265,0 days 00:00:21.097500,2.0,0.0,0.0,26.0,24.0,0.0,Renault,0,False,27,143.5551044813696,354,7532.49568856999,12366,48.641081319234644,39.0923967774421,16.455815709969787,4
8,RIC,3,Renault,20.0,10.0,Collision,0.0,Azerbaijan,2019.0,30.0,0 days 00:01:42.477000,0.0,0 days 00:01:50.117379310,0 days 00:00:04.343009,0 days 00:00:03.557137931,0 days 00:00:20.884000,1.0,0.0,0.0,21.0,10.0,0.0,Renault,1,False,3,89.05570241691844,347,4829.69319612286,12247,58.24335976837865,27.43894763343404,37.348942598187314,4
9,VER,33,Red Bull Racing,4.0,4.0,Finished,12.0,Azerbaijan,2019.0,21.0,0 days 00:01:41.069000,0.0,0 days 00:01:48.290620,0 days 00:00:06.670946,0 days 00:00:02.274800,0 days 00:00:20.973000,1.0,0.0,0.0,37.0,14.0,0.0,Honda,0,False,33,147.17702039274926,344,7600.3684856495465,12495,47.191339375629404,39.56759818731118,15.725704934541792,4
10,NOR,4,McLaren,8.0,7.0,Finished,4.0,Azerbaijan,2019.0,19.0,0 days 00:01:41.886000,0.0,0 days 00:01:49.106918367,0 days 00:00:04.869750,0 days 00:00:03.200081632,0 days 00:00:20.949500,2.0,0.0,0.0,30.0,21.0,0.0,Renault,0,False,4,145.93932527693858,343,7903.187562940584,12316,47.4823136958711,2.9582074521651562,17.122985901309164,4
