,Abbreviation,DriverNumber,TeamName,Position,GridPosition,Status,Points,RaceCountry,Year,AgeAtGP,BestQualiTime,FLapPoint,AvgLapTime,SDLapTime,AvgSplitTime,AvgPitTime,PitstopNo,HARD,INTERMEDIATE,MEDIUM,SOFT,WET,Engine,Rain,Driver,AverageSpeed,MaxSpeed,AverageRPM,MaxRPM,AverageThrottle,MaxThrottlePct,Brake,raceID
8,ALB,23,Williams,12.0,17.0,+1 Lap,0.0,Mexico,2022.0,26.0,0 days 00:01:20.859000,0,0 days 00:01:24.996072463,0 days 00:00:03.052639,0 days 00:00:02.360115942,0 days 00:00:23.182000,1.0,0.0,0.0,38.0,32.0,0.0,Mercedes,False,23,116.94301963143216,354,6477.510389894461,13092,43.82184065182917,10.41997047082627,28.55307048723137,78
9,ZHO,24,Alfa Romeo,13.0,12.0,+1 Lap,0.0,Mexico,2022.0,23.0,0 days 00:01:19.476000,0,0 days 00:01:25.205913043,0 days 00:00:03.087452,0 days 00:00:02.569956521,0 days 00:00:24.218000,1.0,0.0,0.0,45.0,25.0,0.0,,False,24,118.72573412806912,352,6448.4584130803305,12755,35.976130584568274,0.0027341827527751954,17.588997648602835,78
10,RIC,3,McLaren,7.0,11.0,+1 Lap,6.0,Mexico,2022.0,33.0,0 days 00:01:19.325000,0,0 days 00:01:24.714246376,0 days 00:00:02.820459,0 days 00:00:02.078289855,0 days 00:00:22.280000,1.0,0.0,0.0,44.0,26.0,0.0,Mercedes,False,3,116.88989446054575,354,6763.806775304862,12948,43.751107344014876,10.586755618745556,24.57210039919068,78
11,OCO,31,Alpine,8.0,10.0,+1 Lap,4.0,Mexico,2022.0,25.0,0 days 00:01:19.010000,0,0 days 00:01:24.919014492,0 days 00:00:02.914975,0 days 00:00:02.283057971,0 days 00:00:22.343000,1.0,37.0,0.0,33.0,0.0,0.0,Renault,False,31,117.31823153059551,353,6598.32801990485,12294,45.67110515666867,9.44113304533275,25.318532290698307,78
12,NOR,4,McLaren,9.0,8.0,+1 Lap,2.0,Mexico,2022.0,22.0,0 days 00:01:18.721000,0,0 days 00:01:24.975246376,0 days 00:00:02.992426,0 days 00:00:02.339289855,0 days 00:00:22.585000,1.0,39.0,0.0,31.0,0.0,0.0,Mercedes,False,4,117.04380160769946,355,6752.810958604473,12784,43.43626620003281,10.165691474818177,26.75397823590529,78
13,HAM,44,Mercedes,2.0,3.0,Finished,18.0,Mexico,2022.0,37.0,0 days 00:01:18.084000,0,0 days 00:01:23.503757142,0 days 00:00:02.834998,0 days 00:00:00.903271428,0 days 00:00:23.194000,1.0,42.0,0.0,29.0,0.0,0.0,Mercedes,False,44,118.6855142997758,342,6439.729069831027,13204,46.04404768414721,9.892273199540657,25.293924645923333,78
14,MSC,47,Haas F1 Team,16.0,15.0,+1 Lap,0.0,Mexico,2022.0,23.0,0 days 00:01:19.695000,0,0 days 00:01:25.504710144,0 days 00:00:03.165298,0 days 00:00:02.868753623,0 days 00:00:23.679000,1.0,0.0,0.0,46.0,24.0,0.0,Ferrari,False,47,116.98714934106195,353,6836.2838355115655,12778,44.786733745283534,10.42543883633182,27.043801607699457,78
15,VET,5,Aston Martin,14.0,16.0,+1 Lap,0.0,Mexico,2022.0,35.0,0 days 00:01:20.419000,0,0 days 00:01:25.243579710,0 days 00:00:03.091209,0 days 00:00:02.607623188,0 days 00:00:22.534000,1.0,0.0,0.0,32.0,38.0,0.0,Mercedes,False,5,115.37841089298409,346,6363.277382840269,13143,44.158609941488486,9.92508339257396,27.262536227921473,78
16,SAI,55,Ferrari,5.0,5.0,Finished,10.0,Mexico,2022.0,28.0,0 days 00:01:18.351000,0,0 days 00:01:24.072700,0 days 00:00:03.162798,0 days 00:00:01.472214285,0 days 00:00:23.469000,1.0,0.0,0.0,42.0,29.0,0.0,Ferrari,False,55,118.72004702794335,349,6627.490621753158,12541,49.593837152075245,11.664023623338984,28.566741400995245,78
17,LAT,6,Williams,18.0,18.0,+2 Laps,0.0,Mexico,2022.0,27.0,0 days 00:01:21.167000,0,0 days 00:01:26.387794117,0 days 00:00:03.866999,0 days 00:00:03.749705882,0 days 00:00:23.932500,2.0,29.0,0.0,0.0,40.0,0.0,Mercedes,False,6,115.43662164379067,356,6291.2666101602235,13193,44.76524306884672,11.057035052222892,30.732214141193197,78
