,Abbreviation,TeamName,GridPosition,Points,RaceCountry,Year,AgeAtGP,BestQualiTime,FLap,AvgLapTime,SDLapTime,AvgSplitTime,AvgPitTime,PitstopNo,HARD,INTERMEDIATE,MEDIUM,SOFT,WET,Engine,Rain,AverageSpeed,MaxSpeed,AverageRPM,MaxRPM,AverageThrottle,MaxThrottlePct,Brake,raceID,CircuitType,carIssue,driverIssue,after_2020
20,GAS,RedBullRacing,13.0,4.0,Bahrain,2019.0,22.0,89.526,0.0,100.251214,8.511713,3.820964,26.0205,2.0,0.0,0.0,18.0,39.0,0.0,Honda,False,144.97824093881792,337,7840.687366297903,12756,48.55445877391357,1.7022186907890715,16.89994499113746,2,race,0,0,0
21,PER,RacingPoint,14.0,1.0,Bahrain,2019.0,29.0,89.756,0.0,100.371625,6.961739,3.941375,26.967,2.0,0.0,0.0,49.0,8.0,0.0,Mercedes,False,144.82308538597886,343,7805.01656377972,13312,46.9741152741275,18.345455656744697,17.147484872562803,2,race,0,0,0
22,LEC,Ferrari,1.0,15.0,Bahrain,2019.0,21.0,87.866,1.0,99.427857,8.081631,2.997607,24.438,2.0,0.0,0.0,44.0,13.0,0.0,Ferrari,False,145.7774891510299,333,7500.414002811564,12641,54.12187519100299,4.926349245156164,20.056842491290265,2,race,0,0,0
23,STR,RacingPoint,18.0,0.0,Bahrain,2019.0,20.0,90.217,0.0,100.883345,8.061027,4.675054,30.469,2.0,0.0,0.0,55.0,1.0,0.0,Mercedes,False,143.0912535908563,336,7824.878430413789,13284,44.79918709125359,2.7596112707047245,16.92133732656928,2,race,0,0,0
24,MAG,HaasF1Team,6.0,0.0,Bahrain,2019.0,26.0,88.757,0.0,101.158018,8.236629,4.950037,25.465,2.0,0.0,0.0,28.0,28.0,0.0,Ferrari,False,143.52420389951715,322,7641.391051891694,12489,51.821007273394045,6.799706619399792,22.932583582910578,2,race,0,0,0
25,ALB,ToroRosso,12.0,2.0,Bahrain,2019.0,23.0,89.513,0.0,100.320767,7.022775,3.890517,25.2505,2.0,0.0,0.0,32.0,25.0,0.0,Honda,False,144.88115029643666,342,7821.05574231404,13141,48.92812175294909,1.3385489884481387,19.10641158853371,2,race,0,0,0
26,KVY,ToroRosso,15.0,0.0,Bahrain,2019.0,24.0,89.854,0.0,101.02429,9.894101,4.816,28.6345,2.0,0.0,0.0,26.0,30.0,0.0,Honda,False,143.57857099199316,336,7825.936587005684,13268,48.11998044129332,0.7609559317890104,16.249006784426378,2,race,0,0,0
27,HUL,Renault,17.0,0.0,Bahrain,2019.0,31.0,90.034,0.0,98.449173,4.16644,2.705269,25.3755,2.0,0.0,0.0,21.0,32.0,0.0,Renault,False,134.6239227431086,335,6953.410457795978,12386,51.18504370148524,6.286290569036122,20.56414644581627,2,race,1,0,0
28,RIC,Renault,10.0,0.0,Bahrain,2019.0,30.0,89.488,0.0,98.710519,3.18657,2.966615,25.676,1.0,0.0,0.0,29.0,24.0,0.0,Renault,False,134.7701240755455,334,7031.573864678198,12481,50.35285129270827,6.188497035633519,19.83375099321557,2,race,1,0,0
29,VER,RedBullRacing,5.0,12.0,Bahrain,2019.0,21.0,88.752,0.0,99.402375,7.935868,2.972125,25.464,2.0,0.0,0.0,46.0,11.0,0.0,Honda,False,145.6046085202616,322,7792.32342155125,12674,45.02463174622578,32.65387201271316,16.132876963510785,2,race,0,0,0
30,NOR,McLaren,9.0,8.0,Bahrain,2019.0,19.0,89.043,0.0,100.016714,7.824492,3.586464,24.446,2.0,0.0,0.0,24.0,33.0,0.0,Renault,False,144.98716459874092,338,7688.503178289836,12281,47.51925310188864,0.0030560479188313,16.239838640669884,2,race,0,0,0
31,HAM,Mercedes,3.0,25.0,Bahrain,2019.0,33.0,88.19,0.0,98.348,7.211253,2.139709,24.2895,2.0,0.0,0.0,23.0,34.0,0.0,Mercedes,False,145.7354073711876,331,7501.931636208055,12843,48.209553205794265,0.0213923354318195,15.136605341971762,2,race,0,0,0
32,VET,Ferrari,2.0,10.0,Bahrain,2019.0,32.0,88.16,0.0,99.996803,9.271804,3.566553,27.544333,3.0,0.0,0.0,24.0,33.0,0.0,Ferrari,False,145.66172605586456,335,7500.713801112402,12997,54.56194609131471,6.121263981419229,21.28231770674164,2,race,0,0,0
33,SAI,McLaren,7.0,0.0,Bahrain,2019.0,25.0,88.813,0.0,100.276038,8.41842,4.532134,31.854,3.0,16.0,0.0,20.0,17.0,0.0,Renault,False,134.29108856426868,334,7055.572214412322,12522,45.72425279628384,0.7915164109773242,17.670069066682967,2,race,1,0,0
34,RUS,Williams,19.0,0.0,Bahrain,2019.0,20.0,91.759,0.0,102.0598,7.751217,5.851509,24.7725,2.0,0.0,0.0,44.0,12.0,0.0,Mercedes,False,142.60830633824338,328,7569.090978546544,13174,47.000794572458894,0.3300531752337877,17.000794572458897,2,race,0,0,0
35,RAI,AlfaRomeoRacing,8.0,6.0,Bahrain,2019.0,39.0,89.022,0.0,100.101214,8.106228,3.670964,25.634,2.0,0.0,0.0,24.0,33.0,0.0,Ferrari,False,145.5577898661451,337,7589.809424851782,12944,56.91528635168999,9.59293441721166,26.297292341543915,2,race,0,0,0
36,BOT,Mercedes,4.0,18.0,Bahrain,2019.0,29.0,88.256,0.0,99.38091,8.248037,2.95066,24.649,2.0,0.0,0.0,27.0,30.0,0.0,Mercedes,False,147.0028726850437,331,7625.554611576309,13159,47.18033738769024,34.585294297414585,15.15494162948475,2,race,0,0,0
37,GRO,HaasF1Team,11.0,0.0,Bahrain,2019.0,32.0,89.015,0.0,100.586533,6.866675,4.466066,32.082,1.0,0.0,0.0,15.0,1.0,0.0,Ferrari,False,42.52634313306033,300,2395.2894994193507,12651,67.95308966444594,52.50595929344172,57.86015524723428,2,race,0,1,0
38,KUB,Williams,20.0,0.0,Bahrain,2019.0,34.0,91.799,0.0,102.866018,8.997011,6.857703,24.49,2.0,0.0,0.0,39.0,16.0,0.0,Mercedes,False,140.95467880936374,329,7565.475643298087,12974,46.15503331092231,30.47796589450523,18.152924637858323,2,race,0,0,0
39,GIO,AlfaRomeoRacing,16.0,0.0,Bahrain,2019.0,25.0,90.026,0.0,100.347892,6.87926,3.917642,26.3025,2.0,0.0,0.0,25.0,32.0,0.0,Ferrari,False,145.13070716948843,335,7459.4097854654365,12459,56.7233359819082,9.045901839740846,25.536336409754902,2,race,0,0,0
40,GAS,RedBullRacing,6.0,8.0,China,2019.0,22.0,92.93,1.0,100.027909,4.549585,2.8406,22.477,3.0,20.0,0.0,14.0,22.0,0.0,Honda,False,146.354186118892,324,7563.585216308746,12673,48.2177093059446,0.3890445066915655,13.43915343915344,3,race,0,0,0
41,PER,RacingPoint,12.0,4.0,China,2019.0,29.0,93.299,0.0,100.433055,2.923554,3.231444,23.733,1.0,35.0,0.0,20.0,0.0,0.0,Mercedes,False,144.47855586679117,324,7521.543915343916,13223,45.08966697790227,18.69281045751634,15.150949268596328,3,race,0,0,0
