,Abbreviation,TeamName,GridPosition,Points,RaceCountry,Year,AgeAtGP,BestQualiTime,FLap,SDLapTime,AvgPitTime,PitstopNo,HARD,INTERMEDIATE,MEDIUM,SOFT,WET,Engine,Rain,AverageSpeed,MaxSpeed,MaxRPM,AverageThrottle,MaxThrottlePct,Brake,raceID,CircuitType,carIssue,driverIssue
417,STR,RacingPoint,9.0,0.0,Austria,2020.0,21.0,63.955,0.0,2.629749,0.0,0.0,0.0,0.0,0.0,15.0,0.0,Mercedes,False,43.03802098373279,321,12484,69.26037154682838,53.41226297044951,58.53627233933327,22,race,1,0
418,MAG,HaasF1Team,16.0,0.0,Austria,2020.0,28.0,65.164,0.0,0.601502,0.0,0.0,0.0,0.0,19.0,0.0,0.0,Ferrari,False,52.09773157506337,327,12692,68.88892097410722,51.105335771809926,57.06356081753137,22,race,1,0
419,ALB,RedBullRacing,4.0,0.0,Austria,2020.0,24.0,63.746,0.0,16.178122,20.052,3.0,25.0,0.0,0.0,37.0,0.0,Honda,False,169.85510315397696,324,12402,72.0783841884044,57.80793788301729,62.543716109988125,22,race,1,0
420,KVY,AlphaTauri,13.0,0.0,Austria,2020.0,26.0,64.431,0.0,14.304768,21.349,3.0,25.0,0.0,21.0,18.0,0.0,,False,142.75040908653384,330,13144,54.517149549202685,7.649116052234735,21.37517245804857,22,race,1,0
421,RIC,Renault,10.0,0.0,Austria,2020.0,31.0,64.023,0.0,8.26452,0.0,0.0,0.0,0.0,0.0,12.0,0.0,Renault,False,36.92087785157378,323,12349,71.80017326017904,57.74697596817147,61.09988128469214,22,race,1,0
422,OCO,Renault,14.0,4.0,Austria,2020.0,23.0,64.643,0.0,13.707297,20.6545,2.0,45.0,0.0,21.0,0.0,0.0,Renault,False,149.30118394455675,330,12351,47.87002278050503,0.6513299323001893,17.447941733243493,22,race,0,0
423,VER,RedBullRacing,2.0,0.0,Austria,2020.0,22.0,63.477,0.0,23.052947,0.0,0.0,0.0,0.0,10.0,0.0,0.0,Honda,False,22.41813456540572,300,12771,69.2759007925049,60.13411621266083,62.75547855103154,22,race,1,0
424,NOR,McLaren,3.0,15.0,Austria,2020.0,20.0,63.626,1.0,15.447436,21.240333,3.0,25.0,0.0,20.0,21.0,0.0,Renault,False,149.2278371354317,324,12241,45.59139474444124,0.3401033144030545,13.06510090801168,22,race,0,0
425,HAM,Mercedes,5.0,12.0,Austria,2020.0,35.0,62.951,0.0,16.858545,19.1075,2.0,45.0,0.0,0.0,21.0,0.0,Mercedes,False,149.37568582154202,327,12752,45.59402573234511,1.1679019475727532,17.954888183014088,22,race,0,0
426,VET,Ferrari,11.0,1.0,Austria,2020.0,33.0,64.206,0.0,14.268363,21.433,3.0,25.0,0.0,21.0,20.0,0.0,Ferrari,False,147.8171142554625,331,12788,48.529341932171846,2.037411364584336,18.57092437514037,22,race,0,0
427,SAI,McLaren,8.0,10.0,Austria,2020.0,26.0,63.971,0.0,15.206621,21.898667,3.0,26.0,0.0,19.0,21.0,0.0,Renault,False,149.08807392434306,336,12369,44.42195270638817,0.4556101004267334,13.761350145987745,22,race,0,0
428,LAT,Williams,20.0,0.0,Austria,2020.0,25.0,65.757,0.0,13.747792,21.154667,3.0,25.0,0.0,25.0,16.0,0.0,Mercedes,False,149.31915166682708,329,12819,46.85054705297269,0.3753970545769564,18.35274489042898,22,race,0,0
429,RUS,Williams,17.0,0.0,Austria,2020.0,21.0,65.167,0.0,11.227615,21.417,1.0,24.0,0.0,20.0,0.0,0.0,Mercedes,False,103.44024128084192,331,12815,59.46709660859242,26.377257997240672,37.25735553630442,22,race,1,0
430,RAI,AlfaRomeoRacing,19.0,0.0,Austria,2020.0,40.0,65.224,0.0,11.158222,22.399,2.0,27.0,0.0,19.0,2.0,0.0,Ferrari,False,112.5588924182629,332,12788,57.26614688612956,22.40510796675971,35.74614175249462,22,race,1,0
431,BOT,Mercedes,1.0,25.0,Austria,2020.0,30.0,62.939,0.0,17.13754,19.172,2.0,45.0,0.0,0.0,22.0,0.0,Mercedes,False,149.2279013058684,307,12820,45.59960856033625,0.5679083646164212,16.851156672121153,22,race,0,0
432,GRO,HaasF1Team,15.0,0.0,Austria,2020.0,34.0,64.691,0.0,11.350929,23.28,1.0,29.0,0.0,15.0,0.0,0.0,Ferrari,False,102.78105047004846,325,12761,55.266660249623,24.599736901209614,35.40282991625758,22,race,1,0
433,GIO,AlfaRomeoRacing,18.0,2.0,Austria,2020.0,26.0,65.175,0.0,14.715568,22.045667,3.0,30.0,0.0,20.0,16.0,0.0,Ferrari,False,149.66143677607727,331,12682,52.30644592036449,6.035229569737222,21.622228639265888,22,race,0,0
434,GAS,AlphaTauri,10.0,0.0,Hungary,2020.0,24.0,75.508,0.0,8.199062,22.74,1.0,0.0,3.0,0.0,12.0,0.0,,False,33.24708504335064,327,13028,64.0368820156008,51.53154132579567,57.309814366863264,23,race,1,0
435,PER,RacingPoint,4.0,6.0,Hungary,2020.0,30.0,74.545,0.0,5.457331,22.657,2.0,34.0,3.0,32.0,0.0,0.0,Mercedes,False,129.4150245970701,330,13549,40.4332074035822,0.5598891093414508,19.3433533552578,23,race,0,0
436,LEC,Ferrari,6.0,0.0,Hungary,2020.0,22.0,74.817,0.0,5.367093,22.415,2.0,49.0,2.0,0.0,18.0,0.0,Ferrari,False,129.87432392031093,324,12629,55.6766776288968,11.208653820020112,30.46503410974914,23,race,0,0
437,STR,RacingPoint,3.0,12.0,Hungary,2020.0,21.0,74.377,0.0,5.95923,22.557333,3.0,18.0,3.0,49.0,0.0,0.0,Mercedes,False,131.16620009240887,327,13350,40.53947761802517,8.118392085451037,18.78890006251189,23,race,0,0
438,MAG,HaasF1Team,0.0,1.0,Hungary,2020.0,28.0,76.152,0.0,4.022914,23.621,1.0,67.0,0.0,2.0,0.0,0.0,Ferrari,False,129.89332209931237,299,12716,52.23893131845732,12.760579458049085,30.9189247954774,23,race,0,0
439,ALB,RedBullRacing,13.0,10.0,Hungary,2020.0,24.0,75.715,0.0,5.252948,22.61,2.0,36.0,3.0,31.0,0.0,0.0,Honda,False,133.11619057972985,328,12761,38.58954148887017,26.97523985540728,19.256380289729023,23,race,0,0
440,KVY,AlphaTauri,17.0,0.0,Hungary,2020.0,26.0,76.204,0.0,5.724273,23.1265,2.0,51.0,1.0,0.0,17.0,0.0,,False,129.73372652406707,318,13142,43.26070176392248,1.731307585682059,18.62310765634768,23,race,0,0
441,RIC,Renault,11.0,4.0,Hungary,2020.0,31.0,75.661,0.0,5.277217,21.9965,2.0,0.0,4.0,65.0,0.0,0.0,Renault,False,129.79710814557117,324,12270,42.244149702389045,0.4403011442393933,14.796292773081838,23,race,0,0
442,VER,RedBullRacing,7.0,18.0,Hungary,2020.0,22.0,74.849,0.0,4.822011,21.3985,2.0,34.0,4.0,32.0,0.0,0.0,Honda,False,130.46834995787242,319,12851,40.65156415622537,30.532981817193487,15.21756855923681,23,race,0,0
443,NOR,McLaren,8.0,0.0,Hungary,2020.0,20.0,74.966,0.0,5.442086,22.877,2.0,34.0,4.0,31.0,0.0,0.0,Renault,False,127.80398445356454,329,12262,52.070040496833634,11.583725165112927,28.8886472970402,23,race,0,0
444,HAM,Mercedes,1.0,25.0,Hungary,2020.0,35.0,73.447,1.0,5.643536,22.336667,3.0,0.0,3.0,63.0,4.0,0.0,Mercedes,False,131.28165683689832,315,12687,55.42287935205066,12.564890060609354,29.72032723615905,23,race,0,0
445,VET,Ferrari,5.0,8.0,Hungary,2020.0,33.0,74.774,0.0,5.682437,25.083,2.0,40.0,3.0,26.0,0.0,0.0,Ferrari,False,129.84950941755224,320,13001,53.72981273611829,9.433859701573668,28.217323947490016,23,race,0,0
446,SAI,McLaren,9.0,2.0,Hungary,2020.0,26.0,75.027,0.0,5.545248,24.7845,2.0,29.0,3.0,37.0,0.0,0.0,Renault,False,127.64620987687876,329,12272,39.66039735819314,0.0462044410621585,17.56855923681135,23,race,0,0
447,LAT,Williams,15.0,0.0,Hungary,2020.0,25.0,76.105,0.0,8.707091,26.7734,5.0,13.0,3.0,35.0,14.0,0.0,Mercedes,False,122.89582257494632,304,13005,51.16443345201533,11.684287772130569,32.56054140733291,23,race,0,0
448,RUS,Williams,12.0,0.0,Hungary,2020.0,21.0,75.585,0.0,5.632722,21.533,3.0,0.0,4.0,50.0,15.0,0.0,Mercedes,False,129.51564156225368,323,12831,48.26268583697986,7.169842089527899,25.04280705568994,23,race,0,0
449,RAI,AlfaRomeoRacing,20.0,0.0,Hungary,2020.0,40.0,76.614,0.0,5.796712,24.7135,2.0,36.0,3.0,30.0,0.0,0.0,Ferrari,False,129.60620226673552,323,12927,44.84219824423124,3.680047835186041,23.84964531296714,23,race,0,0
450,BOT,Mercedes,2.0,15.0,Hungary,2020.0,30.0,73.554,0.0,5.926249,21.707333,3.0,21.0,2.0,47.0,0.0,0.0,Mercedes,False,131.48699480879517,329,12922,53.37311445111842,11.912592069143589,29.467561764466065,23,race,0,0
451,GRO,HaasF1Team,0.0,0.0,Hungary,2020.0,34.0,76.407,0.0,4.175852,22.591,1.0,66.0,0.0,3.0,0.0,0.0,Ferrari,False,129.88954420677845,304,12975,50.06599081346995,10.719430326420786,27.918354034734865,23,race,0,0
452,GIO,AlfaRomeoRacing,19.0,0.0,Hungary,2020.0,26.0,76.506,0.0,6.225411,22.398667,3.0,29.0,4.0,20.0,16.0,0.0,Ferrari,False,129.98749762183024,318,12773,46.29288179816813,3.704509009866007,21.324708504335064,23,race,0,0
453,GAS,AlphaTauri,11.0,6.0,UK,2020.0,24.0,86.343,0.0,15.499324,29.414,1.0,40.0,0.0,12.0,0.0,0.0,,False,147.39902607602892,338,13007,48.38416588124411,2.8149544454916744,15.014137606032046,24,race,0,0
454,LEC,Ferrari,4.0,15.0,UK,2020.0,22.0,85.427,0.0,14.523001,29.52,1.0,39.0,0.0,13.0,0.0,0.0,Ferrari,False,147.62924913603518,319,13031,51.98404021363493,5.230914231856739,19.871190700596923,24,race,0,0
455,STR,RacingPoint,6.0,2.0,UK,2020.0,21.0,85.839,0.0,15.512479,28.716,1.0,39.0,0.0,13.0,0.0,0.0,Mercedes,False,147.4133207665724,337,12929,44.79899465912661,6.606974552309142,16.019478479421927,24,race,0,0
456,ALB,RedBullRacing,12.0,4.0,UK,2020.0,24.0,86.545,0.0,12.924525,31.071,2.0,24.0,0.0,28.0,0.0,0.0,Honda,False,147.36336789192586,338,12694,44.58250078542256,1.55827835375432,15.601633678919258,24,race,0,0
457,KVY,AlphaTauri,19.0,0.0,UK,2020.0,26.0,86.744,0.0,22.56347,0.0,0.0,0.0,0.0,11.0,0.0,0.0,,False,34.55230914231857,323,12956,70.20662896638392,56.91486019478479,60.44297832233742,24,race,0,1
458,RIC,Renault,8.0,12.0,UK,2020.0,31.0,86.009,0.0,15.854622,29.559,1.0,40.0,0.0,0.0,12.0,0.0,Renault,False,148.2909833490418,339,12378,46.40914231856739,2.2086082312284008,11.775054979579014,24,race,0,0
459,OCO,Renault,9.0,8.0,UK,2020.0,23.0,86.209,0.0,15.519106,30.768,1.0,40.0,0.0,0.0,12.0,0.0,Renault,False,147.47103361608546,337,12447,47.73226515865536,2.079798931825322,15.969211435752436,24,race,0,0
460,VER,RedBullRacing,3.0,18.0,UK,2020.0,22.0,85.325,1.0,12.976274,28.2405,2.0,37.0,0.0,13.0,2.0,0.0,Honda,False,147.33553251649388,308,12627,47.268520263901976,2.73641218975809,14.882186616399624,24,race,0,0
461,NOR,McLaren,5.0,10.0,UK,2020.0,20.0,85.782,0.0,15.712987,30.289,1.0,40.0,0.0,0.0,12.0,0.0,Renault,False,147.46902293433868,328,12408,47.42588752748979,2.485076971410619,14.087338988375746,24,race,0,0
462,HAM,Mercedes,1.0,25.0,UK,2020.0,35.0,84.303,0.0,13.119308,28.805,1.0,39.0,0.0,13.0,0.0,0.0,Mercedes,False,147.46710650329877,307,12660,45.554068488847,1.4608859566446748,13.575243480992777,24,race,0,0
463,VET,Ferrari,10.0,1.0,UK,2020.0,33.0,86.077,0.0,15.312398,29.439,1.0,40.0,0.0,0.0,12.0,0.0,Ferrari,False,147.74376374489475,328,13089,48.99434495758718,1.7436380772855795,16.48444863336475,24,race,0,0
464,SAI,McLaren,7.0,0.0,UK,2020.0,26.0,85.965,0.0,16.102744,32.3825,2.0,38.0,0.0,1.0,13.0,0.0,Renault,False,147.4166509582155,335,12181,47.09626138862709,1.907005969211436,12.862079798931823,24,race,0,0
465,LAT,Williams,18.0,0.0,UK,2020.0,25.0,87.705,0.0,12.934267,31.371,1.0,40.0,0.0,12.0,0.0,0.0,Mercedes,False,147.49459629280554,331,12792,47.000314169022936,1.825322023248508,16.44674835061263,24,race,0,0
466,RUS,Williams,20.0,0.0,UK,2020.0,21.0,86.732,0.0,12.953939,29.302,1.0,40.0,0.0,12.0,0.0,0.0,Mercedes,False,147.43041156142004,335,12700,46.83119698397738,2.1583411875589067,14.690543512409675,24,race,0,0
467,RAI,AlfaRomeoRacing,16.0,0.0,UK,2020.0,40.0,87.366,0.0,11.878827,40.3375,2.0,35.0,0.0,12.0,4.0,0.0,Ferrari,False,144.79588438579955,332,12829,56.82334275840402,11.341501727929623,25.57650015708452,24,race,0,0
468,BOT,Mercedes,2.0,0.0,UK,2020.0,30.0,84.616,0.0,13.972857,32.0865,2.0,37.0,0.0,13.0,2.0,0.0,Mercedes,False,147.37345271756206,332,12957,46.151178133836005,2.5793276782909205,15.32516493873704,24,race,0,0
469,GRO,HaasF1Team,17.0,0.0,UK,2020.0,34.0,87.317,0.0,13.367375,33.816,1.0,16.0,0.0,36.0,0.0,0.0,Ferrari,False,147.14143889412503,326,12821,44.25161797046811,1.4326107445805842,14.225573358466857,24,race,0,0
470,GIO,AlfaRomeoRacing,15.0,0.0,UK,2020.0,26.0,87.164,0.0,15.211429,28.355,1.0,40.0,0.0,12.0,0.0,0.0,Ferrari,False,147.75868677348413,334,12633,57.12557335846685,9.798931825322024,23.77945334590009,24,race,0,0
471,GAS,AlphaTauri,7.0,0.0,UK,2020.0,24.0,86.523,0.0,4.318197,28.331,2.0,45.0,0.0,7.0,0.0,0.0,,False,162.17565114168005,337,12959,51.4311849731164,41.37630053767195,10.023741358843656,25,race,0,0
472,LEC,Ferrari,8.0,12.0,UK,2020.0,22.0,86.614,0.0,3.255333,29.419,1.0,34.0,0.0,18.0,0.0,0.0,Ferrari,False,162.57632148592975,336,12393,56.84896306123874,4.975211228266183,18.588087424062564,25,race,0,0
473,STR,RacingPoint,6.0,8.0,UK,2020.0,21.0,86.428,0.0,3.746067,28.1045,2.0,34.0,0.0,18.0,0.0,0.0,Mercedes,False,162.03927798338106,324,13113,50.948502199567066,6.95831296697158,14.161022274980798,25,race,0,0
474,MAG,HaasF1Team,17.0,0.0,UK,2020.0,28.0,88.236,0.0,4.651784,29.1615,2.0,34.0,0.0,9.0,0.0,0.0,Ferrari,False,132.882969066406,326,12526,51.63972487954752,11.29460233223937,22.56127365407444,25,race,0,1
475,ALB,RedBullRacing,9.0,10.0,UK,2020.0,24.0,86.642,0.0,4.210979,28.1375,2.0,46.0,0.0,6.0,0.0,0.0,Honda,False,162.0524753857971,350,12747,49.134592556385726,40.56280985964667,12.795894141470567,25,race,0,0
476,KVY,AlphaTauri,16.0,1.0,UK,2020.0,26.0,87.882,0.0,4.068048,28.2005,2.0,35.0,0.0,17.0,0.0,0.0,,False,161.59517491795265,337,13526,51.41669576146917,41.92095524055583,11.392360868654425,25,race,0,0
477,HUL,RacingPoint,3.0,6.0,UK,2020.0,32.0,86.082,0.0,4.611438,28.701,3.0,29.0,0.0,15.0,8.0,0.0,Mercedes,False,162.1325326443684,327,13104,49.284791564834855,27.47364010893094,12.017317226450668,25,race,0,0
478,RIC,Renault,5.0,0.0,UK,2020.0,31.0,86.297,0.0,4.83376,28.270333,3.0,9.0,0.0,42.0,0.0,0.0,Renault,False,159.8188324837651,334,12357,49.236156692968365,38.13979470707353,9.339431603938271,25,race,0,0
479,OCO,Renault,14.0,4.0,UK,2020.0,23.0,87.011,0.0,2.910231,28.093,1.0,30.0,0.0,22.0,0.0,0.0,Renault,False,161.6000977585364,324,12293,50.81083723203687,39.59919000069828,11.050205991201732,25,race,0,0
480,VER,RedBullRacing,4.0,25.0,UK,2020.0,22.0,86.176,0.0,4.06398,29.0505,2.0,46.0,0.0,6.0,0.0,0.0,Honda,False,162.33461350464353,331,12431,49.93719014035333,41.292507506459046,10.99085259409259,25,race,0,0
481,NOR,McLaren,10.0,2.0,UK,2020.0,20.0,86.778,0.0,4.236089,28.4115,2.0,40.0,0.0,12.0,0.0,0.0,Renault,False,161.73744850219956,336,12133,51.6389218629984,0.5167236924795754,11.84623978772432,25,race,0,0
482,HAM,Mercedes,2.0,18.0,UK,2020.0,35.0,85.217,1.0,3.824637,28.904,2.0,38.0,0.0,14.0,0.0,0.0,Mercedes,False,162.35339710914042,341,12594,50.23350324697996,36.89686474408212,10.791844144961944,25,race,0,0
483,VET,Ferrari,11.0,0.0,UK,2020.0,33.0,87.078,0.0,3.940034,28.2595,2.0,33.0,0.0,19.0,0.0,0.0,Ferrari,False,161.96808882061308,351,12591,52.83408979819845,0.7017666364080721,16.22442566859856,25,race,0,0
484,SAI,McLaren,12.0,0.0,UK,2020.0,26.0,87.083,0.0,4.670385,32.318,2.0,40.0,0.0,12.0,0.0,0.0,Renault,False,161.4448362544515,338,12243,50.88139794707074,0.1396550520215068,11.378395363452274,25,race,0,0
485,LAT,Williams,18.0,0.0,UK,2020.0,25.0,88.43,0.0,4.520014,28.610333,3.0,37.0,0.0,14.0,0.0,0.0,Mercedes,False,159.16604985685356,342,13108,49.48540604706376,39.77026743942462,15.987012080162,25,race,0,0
486,RUS,Williams,15.0,0.0,UK,2020.0,21.0,87.455,0.0,4.672898,28.471333,3.0,31.0,0.0,20.0,0.0,0.0,Mercedes,False,159.5739473500454,337,12611,48.86896864744082,38.5447943579359,12.069687870958733,25,race,0,0
487,RAI,AlfaRomeoRacing,20.0,0.0,UK,2020.0,40.0,88.493,0.0,2.966507,29.296,1.0,26.0,0.0,25.0,0.0,0.0,Ferrari,False,159.8686544235738,338,12708,60.427449200474825,10.00279310104043,23.44110048180993,25,race,0,0
488,BOT,Mercedes,1.0,15.0,UK,2020.0,30.0,85.154,0.0,3.957278,28.298,2.0,39.0,0.0,13.0,0.0,0.0,Mercedes,False,162.5986313804902,326,12767,49.96033796522589,39.309405767753645,11.27714545073668,25,race,0,0
489,GRO,HaasF1Team,13.0,0.0,UK,2020.0,34.0,87.254,0.0,4.499828,29.59,2.0,34.0,0.0,17.0,0.0,0.0,Ferrari,False,159.8474268556665,339,12826,47.010509042664616,39.47699183017946,12.638782207946372,25,race,0,0
490,GIO,AlfaRomeoRacing,19.0,0.0,UK,2020.0,26.0,88.433,0.0,3.850961,27.7925,2.0,26.0,0.0,25.0,0.0,0.0,Ferrari,False,159.75075064590462,331,12795,61.3532225403254,9.77585364150548,22.67648907199218,25,race,0,0
491,GAS,AlphaTauri,10.0,2.0,Spain,2020.0,24.0,76.8,0.0,3.353939,22.3175,2.0,0.0,0.0,44.0,21.0,0.0,,False,142.7338147488199,340,12825,47.18262527743912,0.640845290568633,14.470599268498546,26,race,0,0
492,PER,RacingPoint,4.0,10.0,Spain,2020.0,30.0,76.482,0.0,2.557706,22.641,1.0,0.0,0.0,36.0,29.0,0.0,Mercedes,False,142.2760636468786,340,13172,43.16708868673607,1.0534871362030698,18.187501953796616,26,race,0,0
493,LEC,Ferrari,9.0,0.0,Spain,2020.0,22.0,76.953,0.0,8.28002,22.274,1.0,0.0,0.0,9.0,29.0,0.0,Ferrari,False,83.39113445246804,341,12650,60.71821563662509,31.58585763856325,43.264872299853074,26,race,1,0
494,STR,RacingPoint,5.0,12.0,Spain,2020.0,21.0,76.589,0.0,3.456507,22.3695,2.0,0.0,0.0,15.0,50.0,0.0,Mercedes,False,142.62605895776673,339,13159,44.68917440370127,3.913845384350872,16.26809215667886,26,race,0,0
495,MAG,HaasF1Team,16.0,0.0,Spain,2020.0,28.0,77.908,0.0,2.899045,24.148,1.0,0.0,0.0,37.0,28.0,0.0,Ferrari,False,142.99021538653912,333,12812,42.89558910875613,0.5658195004532809,15.186470349182532,26,race,0,0
496,ALB,RedBullRacing,6.0,4.0,Spain,2020.0,24.0,77.029,0.0,3.300391,21.7335,2.0,22.0,0.0,26.0,17.0,0.0,Honda,False,143.1302322673419,334,12565,42.88264715996124,28.025258682672167,15.424052017881143,26,race,0,0
497,KVY,AlphaTauri,12.0,0.0,Spain,2020.0,26.0,77.192,0.0,3.540897,22.5575,2.0,0.0,0.0,44.0,21.0,0.0,,False,142.64550314170495,343,12971,47.45424989840257,1.4036074900747133,15.39591734658789,26,race,0,0
498,RIC,Renault,13.0,0.0,Spain,2020.0,31.0,77.198,0.0,2.853163,21.837,1.0,0.0,0.0,35.0,30.0,0.0,Renault,False,143.31295132701865,336,12422,48.0863734408703,2.713432742505236,15.064553440245083,26,race,0,0
499,OCO,Renault,15.0,0.0,Spain,2020.0,23.0,77.567,0.0,2.844458,22.366,1.0,0.0,0.0,34.0,31.0,0.0,Renault,False,142.82656538185,334,12132,46.58507611991622,0.3376160555190847,15.580355747288127,26,race,0,0
500,VER,RedBullRacing,3.0,18.0,Spain,2020.0,22.0,76.292,0.0,3.211325,21.5665,2.0,0.0,0.0,45.0,21.0,0.0,Honda,False,145.23745662571508,325,12516,45.56600706492857,0.6846103348025884,14.580011879083434,26,race,0,0
501,NOR,McLaren,8.0,1.0,Spain,2020.0,20.0,77.084,0.0,3.289215,21.93,2.0,0.0,0.0,21.0,44.0,0.0,Renault,False,142.93003845071743,340,11978,48.11794679421051,2.110100346994279,18.58451342649036,26,race,0,0
502,HAM,Mercedes,1.0,25.0,Spain,2020.0,35.0,75.584,0.0,3.641061,22.615,2.0,0.0,0.0,43.0,23.0,0.0,Mercedes,False,145.04967332520553,331,12547,47.39363531213855,1.003469942792835,15.333395854825095,26,race,0,0
503,VET,Ferrari,11.0,6.0,Spain,2020.0,33.0,77.168,0.0,2.529584,21.82,1.0,0.0,0.0,29.0,36.0,0.0,Ferrari,False,143.28225327456312,330,12800,50.995185845134266,3.3011347650754947,18.54700053143268,26,race,0,0
504,SAI,McLaren,7.0,8.0,Spain,2020.0,26.0,76.876,0.0,3.375307,22.122,2.0,0.0,0.0,24.0,41.0,0.0,Renault,False,142.69792741254807,348,12156,45.728250336053016,0.6846103348025884,15.561599299759294,26,race,0,0
505,LAT,Williams,19.0,0.0,Spain,2020.0,25.0,78.532,0.0,3.623634,22.3985,2.0,0.0,0.0,49.0,15.0,0.0,Mercedes,False,140.85191784675982,335,12823,46.59414173622183,0.9190659289130638,19.03779424177061,26,race,0,0
506,RUS,Williams,18.0,0.0,Spain,2020.0,21.0,78.099,0.0,3.06664,22.2985,2.0,0.0,0.0,46.0,19.0,0.0,Mercedes,False,142.85054237394104,338,12481,45.277001469255055,0.4345243677514145,14.826971771546468,26,race,0,0
507,RAI,AlfaRomeoRacing,14.0,0.0,Spain,2020.0,40.0,77.386,0.0,3.542433,22.2555,2.0,0.0,0.0,44.0,21.0,0.0,Ferrari,False,142.8988402263278,339,12901,56.696333114508114,10.378567632623714,28.32223576854544,26,race,0,0
508,BOT,Mercedes,2.0,15.0,Spain,2020.0,30.0,75.643,1.0,3.971296,22.353333,3.0,0.0,0.0,27.0,39.0,0.0,Mercedes,False,144.8163431179468,338,12750,46.42123855075182,0.7908968707993372,16.25246178373816,26,race,0,0
509,GRO,HaasF1Team,17.0,0.0,Spain,2020.0,34.0,78.089,0.0,4.699321,23.611,2.0,0.0,0.0,32.0,32.0,0.0,Ferrari,False,141.0368251586483,328,12761,42.79899340398262,1.122260777142143,15.8617024602207,26,race,0,0
510,GIO,AlfaRomeoRacing,20.0,0.0,Spain,2020.0,26.0,78.697,0.0,3.456574,22.0185,2.0,0.0,0.0,45.0,20.0,0.0,Ferrari,False,143.39141579918098,341,12987,57.060270718059336,9.797117759229735,25.374347431929728,26,race,0,0
511,GAS,AlphaTauri,12.0,4.0,Belgium,2020.0,24.0,102.745,0.0,2.570828,22.681,1.0,26.0,0.0,18.0,0.0,0.0,,False,155.25947259772258,351,12952,49.71215955250716,1.461676766331491,12.139575148165411,27,race,0,0
512,PER,RacingPoint,8.0,1.0,Belgium,2020.0,30.0,102.532,0.0,2.501716,23.175,1.0,26.0,0.0,0.0,18.0,0.0,Mercedes,False,155.33378837317707,350,13136,46.57664646733702,0.7258440434174602,14.563494705999863,27,race,0,0
513,LEC,Ferrari,13.0,0.0,Belgium,2020.0,22.0,102.996,0.0,3.251311,27.889,2.0,14.0,0.0,20.0,10.0,0.0,Ferrari,False,155.25610974229207,362,13026,54.82985949257508,5.157488180062596,19.394686022507823,27,race,0,0
514,STR,RacingPoint,9.0,2.0,Belgium,2020.0,21.0,102.491,0.0,0.998606,23.689,1.0,33.0,0.0,0.0,11.0,0.0,Mercedes,False,155.31421056136378,346,12969,46.12832123593261,5.976559898781382,14.193913564626756,27,race,0,0
515,MAG,HaasF1Team,20.0,0.0,Belgium,2020.0,28.0,104.314,0.0,8.457236,25.2475,2.0,25.0,0.0,10.0,9.0,0.0,Ferrari,False,155.5326629819538,345,12897,47.6886528600919,1.481654125324632,13.468069521209298,27,race,0,0
516,ALB,RedBullRacing,5.0,8.0,Belgium,2020.0,24.0,102.193,0.0,0.987207,22.738,1.0,0.0,0.0,33.0,11.0,0.0,Honda,False,155.2806485982553,343,12840,46.425384564160616,36.208963175068256,13.321568888592928,27,race,0,0
517,KVY,AlphaTauri,11.0,0.0,Belgium,2020.0,26.0,102.73,0.0,1.523344,23.769,1.0,33.0,0.0,11.0,0.0,0.0,,False,155.26659785576348,350,12903,49.91682759539189,2.044349736964773,13.504694679363388,27,race,0,0
518,RIC,Renault,4.0,12.0,Belgium,2020.0,31.0,102.061,1.0,1.15602,23.586,1.0,33.0,0.0,0.0,11.0,0.0,Renault,False,155.459246187654,346,12407,49.0037956982087,1.2219484584137976,10.611307185190118,27,race,0,0
519,OCO,Renault,6.0,10.0,Belgium,2020.0,23.0,102.396,0.0,1.040536,24.305,1.0,33.0,0.0,0.0,11.0,0.0,Renault,False,155.2292401944463,350,12296,48.62955317307052,0.665911966438037,13.671172670972895,27,race,0,0
520,VER,RedBullRacing,3.0,15.0,Belgium,2020.0,22.0,101.778,0.0,0.883428,23.314,1.0,33.0,0.0,11.0,0.0,0.0,Honda,False,155.39748285276687,325,12819,48.730705200772455,1.5549044416328162,13.72777518812013,27,race,0,0
521,NOR,McLaren,10.0,6.0,Belgium,2020.0,20.0,102.657,0.0,1.612646,23.046,1.0,33.0,0.0,0.0,11.0,0.0,Renault,False,155.24692015715522,351,12304,47.572917360324965,1.225278018245988,14.526869547845775,27,race,0,0
522,HAM,Mercedes,1.0,25.0,Belgium,2020.0,35.0,101.252,0.0,0.87191,23.298,1.0,33.0,0.0,11.0,0.0,0.0,Mercedes,False,155.5722181527602,317,12715,50.03835652926683,1.664779916095092,13.191716055137512,27,race,0,0
523,VET,Ferrari,14.0,0.0,Belgium,2020.0,33.0,103.261,0.0,1.59481,22.982,1.0,33.0,0.0,11.0,0.0,0.0,Ferrari,False,155.40054604781247,346,12604,52.55323966171672,3.309582473197043,17.959645734833853,27,race,0,0
524,LAT,Williams,19.0,0.0,Belgium,2020.0,25.0,104.138,0.0,8.360976,23.5045,2.0,20.0,0.0,24.0,0.0,0.0,Mercedes,False,155.2637344343078,344,13196,49.448458413797695,0.416194979023773,15.29266830924952,27,race,0,0
